old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.5933,0.6061,0.6204,0.6291,0.6122
2+14,0.6006,0.6747,0.5771,0.6853,0.6344
3+13,0.5760,0.6122,0.6287,0.6715,0.6221
4+12,0.5836,0.6086,0.6770,0.6514,0.6301
5+11,0.5732,0.6792,0.6509,0.6496,0.6382
6+10,0.6753,0.6250,0.6420,0.6837,0.6565
7+9,0.5894,0.6420,0.6890,0.6937,0.6535
8+8,0.6579,0.6474,0.6940,0.7070,0.6766
9+7,0.7072,0.7000,0.6745,0.7237,0.7014
10+6,0.6769,0.6682,0.6542,0.7516,0.6877
11+5,0.7061,0.7056,0.7135,0.7291,0.7136
12+4,0.6762,0.6689,0.6976,0.7534,0.6990
13+3,0.6407,0.7313,0.6774,0.7019,0.6878
14+2,0.6937,0.6942,0.7054,0.7116,0.7012
15+1,0.6869,0.6974,0.7171,0.7573,0.7147
avg,0.6425,0.6640,0.6679,0.7000,0.6686
