new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6634,0.6733,0.6428,0.6661,0.6614
14yr,0.6431,0.6342,0.6437,0.6730,0.6485
13yr,0.7006,0.6118,0.6353,0.6922,0.6600
12yr,0.6922,0.6784,0.6632,0.7139,0.6869
11yr,0.6742,0.6317,0.6422,0.6704,0.6546
10yr,0.6490,0.6475,0.6852,0.7125,0.6736
9yr,0.6845,0.6652,0.6253,0.6938,0.6672
8yr,0.6658,0.6598,0.6573,0.6696,0.6631
7yr,0.6060,0.6588,0.6002,0.6959,0.6402
6yr,0.5956,0.6343,0.6496,0.6741,0.6384
5yr,0.6557,0.6697,0.5960,0.6815,0.6507
4yr,0.6375,0.6142,0.5701,0.6459,0.6169
3yr,0.6630,0.6267,0.5943,0.6811,0.6413
2yr,0.5320,0.5442,0.5337,0.5777,0.5469
avg,0.6473,0.6393,0.6242,0.6748,0.6464
