old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4517,0.5096,0.5255,0.5280,0.5037
2yr,0.5057,0.4149,0.4385,0.5583,0.4793
3yr,0.3800,0.3023,0.5416,0.5219,0.4364
4yr,0.4206,0.3922,0.4789,0.4906,0.4456
5yr,0.4177,0.4958,0.5308,0.5494,0.4984
6yr,0.4292,0.4187,0.5180,0.5084,0.4686
7yr,0.4800,0.4638,0.5510,0.5612,0.5140
8yr,0.5036,0.4652,0.5227,0.5509,0.5106
9yr,0.5541,0.5075,0.5614,0.5968,0.5550
10yr,0.5779,0.6157,0.5980,0.5783,0.5925
11yr,0.6244,0.5876,0.5670,0.6348,0.6034
12yr,0.5657,0.5909,0.6005,0.6647,0.6055
13yr,0.5494,0.6140,0.5923,0.6680,0.6059
14yr,0.6441,0.6247,0.6617,0.6900,0.6551
avg,0.5074,0.5002,0.5491,0.5787,0.5339
