old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.0731,0.0762,0.0696,0.0759,0.0737
2+14,0.0781,0.0781,0.0826,0.0822,0.0803
3+13,0.0858,0.0937,0.0678,0.0744,0.0804
4+12,0.1021,0.0902,0.0729,0.0978,0.0908
5+11,0.0923,0.0962,0.0815,0.1103,0.0951
6+10,0.1232,0.1037,0.0871,0.1109,0.1062
7+9,0.1293,0.1073,0.0873,0.0982,0.1055
8+8,0.1158,0.1374,0.0782,0.1194,0.1127
9+7,0.1324,0.0993,0.0989,0.1090,0.1099
10+6,0.1291,0.1081,0.1049,0.1022,0.1111
11+5,0.1036,0.1211,0.0849,0.1021,0.1029
12+4,0.1350,0.1689,0.1156,0.1110,0.1326
13+3,0.1536,0.1330,0.1311,0.1219,0.1349
14+2,0.1159,0.1119,0.0927,0.1113,0.1080
avg,0.1121,0.1089,0.0897,0.1019,0.1031
