old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0287,0.0311,0.0288,0.0306,0.0298
2yr,0.0271,0.0382,0.0307,0.0391,0.0337
3yr,0.0284,0.0356,0.0295,0.0344,0.0320
4yr,0.0374,0.0343,0.0304,0.0379,0.0350
5yr,0.0423,0.0441,0.0405,0.0414,0.0421
6yr,0.0451,0.0440,0.0358,0.0427,0.0419
7yr,0.0502,0.0579,0.0433,0.0489,0.0501
8yr,0.0499,0.0493,0.0405,0.0577,0.0493
9yr,0.0561,0.0551,0.0507,0.0611,0.0557
10yr,0.0701,0.0744,0.0602,0.0797,0.0711
11yr,0.0750,0.0846,0.0609,0.0754,0.0740
12yr,0.0849,0.0935,0.0652,0.0770,0.0802
13yr,0.1018,0.0922,0.0752,0.0788,0.0870
14yr,0.0910,0.1029,0.0604,0.0917,0.0865
15yr,0.1034,0.1189,0.0644,0.0847,0.0929
avg,0.0594,0.0637,0.0478,0.0587,0.0574
