old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.4007,0.4181,0.4495,0.4564,0.4312
2+14,0.4077,0.5366,0.3693,0.5505,0.4660
3+13,0.3659,0.4146,0.4669,0.5366,0.4460
4+12,0.3693,0.4111,0.5505,0.4739,0.4512
5+11,0.3589,0.5226,0.4878,0.4634,0.4582
6+10,0.4983,0.4286,0.4669,0.5192,0.4782
7+9,0.3693,0.4530,0.5505,0.5470,0.4800
8+8,0.4739,0.4495,0.5749,0.5540,0.5131
9+7,0.5470,0.5575,0.5122,0.5923,0.5523
10+6,0.4983,0.4948,0.4739,0.6551,0.5305
11+5,0.5645,0.5505,0.6028,0.6098,0.5819
12+4,0.4948,0.4739,0.5401,0.6481,0.5392
13+3,0.4355,0.5889,0.4983,0.5436,0.5166
14+2,0.5331,0.5366,0.5749,0.5679,0.5531
15+1,0.5122,0.5261,0.6098,0.7143,0.5906
avg,0.4553,0.4908,0.5152,0.5621,0.5059
