new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4774,0.4948,0.4808,0.5017,0.4887
14yr,0.4460,0.4321,0.4634,0.5052,0.4617
13yr,0.5401,0.4007,0.4460,0.5331,0.4800
12yr,0.5331,0.4913,0.4878,0.5679,0.5200
11yr,0.4878,0.4216,0.4530,0.4843,0.4617
10yr,0.4425,0.4425,0.5226,0.5610,0.4922
9yr,0.5017,0.4704,0.4181,0.5192,0.4774
8yr,0.4669,0.4599,0.4704,0.4774,0.4686
7yr,0.3763,0.4599,0.3833,0.5226,0.4355
6yr,0.3659,0.4181,0.4634,0.4843,0.4329
5yr,0.4495,0.4739,0.3728,0.4913,0.4469
4yr,0.4251,0.3902,0.3380,0.4390,0.3981
3yr,0.4599,0.4077,0.3693,0.4983,0.4338
2yr,0.2892,0.3031,0.2962,0.3484,0.3092
1yr,0.2613,0.2787,0.3275,0.5261,0.3484
avg,0.4348,0.4230,0.4195,0.4973,0.4437
