old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.2578,0.3519,0.4146,0.4007,0.3563
2yr,0.3798,0.1951,0.2334,0.4111,0.3049
3yr,0.1672,0.0976,0.4599,0.3589,0.2709
4yr,0.2021,0.1742,0.2962,0.2927,0.2413
5yr,0.1951,0.2892,0.3519,0.3833,0.3049
6yr,0.2056,0.1951,0.3449,0.3101,0.2639
7yr,0.2613,0.2369,0.3798,0.3833,0.3153
8yr,0.2927,0.2439,0.3380,0.3519,0.3066
9yr,0.3589,0.2927,0.3798,0.4216,0.3632
10yr,0.3798,0.4355,0.4251,0.3728,0.4033
11yr,0.4495,0.3833,0.3728,0.4669,0.4181
12yr,0.3519,0.3833,0.4216,0.5192,0.4190
13yr,0.3240,0.4181,0.3972,0.5226,0.4155
14yr,0.4669,0.4286,0.5505,0.5470,0.4983
avg,0.3066,0.2947,0.3833,0.4102,0.3487
