old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.5993,0.5819,0.5505,0.5436,0.5688
2+14,0.5923,0.4634,0.6307,0.4495,0.5340
3+13,0.6341,0.5854,0.5331,0.4634,0.5540
4+12,0.6307,0.5889,0.4495,0.5261,0.5488
5+11,0.6411,0.4774,0.5122,0.5366,0.5418
6+10,0.5017,0.5714,0.5331,0.4808,0.5218
7+9,0.6307,0.5470,0.4495,0.4530,0.5200
8+8,0.5261,0.5505,0.4251,0.4460,0.4869
9+7,0.4530,0.4425,0.4878,0.4077,0.4477
10+6,0.5017,0.5052,0.5261,0.3449,0.4695
11+5,0.4355,0.4495,0.3972,0.3902,0.4181
12+4,0.5052,0.5261,0.4599,0.3519,0.4608
13+3,0.5645,0.4111,0.5017,0.4564,0.4834
14+2,0.4669,0.4634,0.4251,0.4321,0.4469
15+1,0.4878,0.4739,0.3902,0.2857,0.4094
avg,0.5447,0.5092,0.4848,0.4379,0.4941
