old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.7422,0.6481,0.5854,0.5993,0.6437
2yr,0.6202,0.8049,0.7666,0.5889,0.6951
3yr,0.8328,0.9024,0.5401,0.6411,0.7291
4yr,0.7979,0.8258,0.7038,0.7073,0.7587
5yr,0.8049,0.7108,0.6481,0.6167,0.6951
6yr,0.7944,0.8049,0.6551,0.6899,0.7361
7yr,0.7387,0.7631,0.6202,0.6167,0.6847
8yr,0.7073,0.7561,0.6620,0.6481,0.6934
9yr,0.6411,0.7073,0.6202,0.5784,0.6368
10yr,0.6202,0.5645,0.5749,0.6272,0.5967
11yr,0.5505,0.6167,0.6272,0.5331,0.5819
12yr,0.6481,0.6167,0.5784,0.4808,0.5810
13yr,0.6760,0.5819,0.6028,0.4774,0.5845
14yr,0.5331,0.5714,0.4495,0.4530,0.5017
avg,0.6934,0.7053,0.6167,0.5898,0.6513
