metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6300,0.5928,0.6175,0.5987
AUC,New,0.6430,0.6091,0.6283,0.6111
AUC,Retrain,0.6522,0.6241,0.6457,0.6252
F1,Old,0.2372,0.2200,0.2311,0.2216
F1,New,0.2486,0.2274,0.2360,0.2277
F1,Retrain,0.2521,0.2362,0.2484,0.2318
G_Mean,Old,0.5690,0.5550,0.5668,0.5484
G_Mean,New,0.5663,0.5547,0.5521,0.5504
G_Mean,Retrain,0.5824,0.5648,0.5924,0.5610
Recall,Old,0.5662,0.4617,0.4773,0.4269
Recall,New,0.4278,0.4336,0.4097,0.4156
Recall,Retrain,0.4578,0.4365,0.5053,0.4347
Precision,Old,0.1529,0.1450,0.1539,0.1505
Precision,New,0.1779,0.1552,0.1680,0.1578
Precision,Retrain,0.1739,0.1619,0.1646,0.1580
