split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+7,Old,none,0.549295,0.194551,0.532006,0.517305,0.119803,0.452876,0.482695
split_1+7,Old,undersampling,0.567039,0.197601,0.514671,0.368713,0.134966,0.281590,0.631287
split_1+7,Old,oversampling,0.579406,0.206983,0.550655,0.530688,0.128563,0.428626,0.469312
split_1+7,Old,hybrid,0.592162,0.206031,0.463236,0.829257,0.117628,0.741230,0.170743
split_1+7,New,none,0.621674,0.237890,0.578944,0.485002,0.157595,0.308919,0.514998
split_1+7,New,undersampling,0.625615,0.237783,0.557066,0.409783,0.167484,0.242714,0.590217
split_1+7,New,oversampling,0.646123,0.250056,0.596185,0.515921,0.165018,0.311063,0.484079
split_1+7,New,hybrid,0.654302,0.254501,0.601950,0.525150,0.167946,0.310019,0.474850
split_1+7,Retrain,none,0.624132,0.236234,0.564820,0.436548,0.161931,0.269218,0.563452
split_1+7,Retrain,undersampling,0.625178,0.231791,0.561010,0.434702,0.158027,0.275982,0.565298
split_1+7,Retrain,oversampling,0.645672,0.248356,0.592394,0.505307,0.164637,0.305510,0.494693
split_1+7,Retrain,hybrid,0.652203,0.252097,0.582401,0.457776,0.173944,0.259045,0.542224
split_2+6,Old,none,0.558500,0.193924,0.506892,0.353484,0.133612,0.273122,0.646516
split_2+6,Old,undersampling,0.567240,0.203469,0.543383,0.484541,0.128771,0.390630,0.515459
split_2+6,Old,oversampling,0.597281,0.214663,0.522605,0.356714,0.153525,0.234356,0.643286
split_2+6,Old,hybrid,0.615047,0.224290,0.574758,0.634056,0.136242,0.478995,0.365944
split_2+6,New,none,0.619857,0.235723,0.571790,0.462852,0.158127,0.293632,0.537148
split_2+6,New,undersampling,0.622358,0.235233,0.559169,0.420858,0.163236,0.257066,0.579142
split_2+6,New,oversampling,0.641866,0.245714,0.588820,0.499308,0.162952,0.305620,0.500692
split_2+6,New,hybrid,0.651179,0.252294,0.600360,0.526534,0.165891,0.315462,0.473466
split_3+5,Old,none,0.588514,0.218939,0.558156,0.468389,0.142857,0.334873,0.531611
split_3+5,Old,undersampling,0.594420,0.219175,0.549165,0.427780,0.147330,0.295007,0.572220
split_3+5,Old,oversampling,0.615344,0.228413,0.579833,0.552377,0.143974,0.391345,0.447623
split_3+5,Old,hybrid,0.627692,0.231753,0.575978,0.497462,0.151065,0.333113,0.502538
split_3+5,New,none,0.621803,0.235486,0.585476,0.532533,0.151166,0.356318,0.467467
split_3+5,New,undersampling,0.618620,0.231017,0.559344,0.431011,0.157797,0.274112,0.568989
split_3+5,New,oversampling,0.632482,0.241280,0.577011,0.466082,0.162772,0.285659,0.533918
split_3+5,New,hybrid,0.647277,0.246014,0.575387,0.448546,0.169486,0.261905,0.551454
split_4+4,Old,none,0.593828,0.222398,0.558401,0.454084,0.147261,0.313318,0.545916
split_4+4,Old,undersampling,0.607192,0.228817,0.535772,0.368251,0.165973,0.220499,0.631749
split_4+4,Old,oversampling,0.622040,0.236240,0.584616,0.521920,0.152673,0.345156,0.478080
split_4+4,Old,hybrid,0.631425,0.240728,0.579206,0.476234,0.161074,0.295557,0.523766
split_4+4,New,none,0.613660,0.229259,0.541709,0.382557,0.163672,0.232926,0.617443
split_4+4,New,undersampling,0.615127,0.231019,0.571103,0.476696,0.152450,0.315792,0.523304
split_4+4,New,oversampling,0.627967,0.233572,0.531982,0.353484,0.174408,0.199384,0.646516
split_4+4,New,hybrid,0.644940,0.251129,0.530117,0.333641,0.201337,0.157704,0.666359
split_5+3,Old,none,0.615019,0.235147,0.575121,0.478542,0.155870,0.308809,0.521458
split_5+3,Old,undersampling,0.610104,0.232245,0.570498,0.469312,0.154301,0.306500,0.530688
