metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.7229,0.7170,0.7004,0.7109
AUC,New,0.8571,0.8726,0.8361,0.8760
AUC,Retrain,0.8491,0.8535,0.8112,0.8564
AUC,Finetune,0.8481,0.8560,0.8227,0.8484
F1,Old,0.1149,0.1199,0.1023,0.1249
F1,New,0.2329,0.2763,0.2073,0.2852
F1,Retrain,0.2086,0.2492,0.1812,0.2380
F1,Finetune,0.2016,0.2322,0.1831,0.2222
G_Mean,Old,0.5716,0.5042,0.5608,0.5363
G_Mean,New,0.6885,0.6879,0.6224,0.6697
G_Mean,Retrain,0.6560,0.6266,0.6692,0.6154
G_Mean,Finetune,0.6940,0.6871,0.6733,0.6900
Recall,Old,0.3882,0.2943,0.3775,0.3289
Recall,New,0.5115,0.5006,0.4253,0.4727
Recall,Retrain,0.4634,0.4111,0.4948,0.3972
Recall,Finetune,0.5322,0.5094,0.5041,0.5166
Precision,Old,0.0685,0.0769,0.0598,0.0786
Precision,New,0.1518,0.1925,0.1505,0.2092
Precision,Retrain,0.1346,0.1788,0.1109,0.1699
Precision,Finetune,0.1251,0.1517,0.1123,0.1421
