old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.8358,0.7702,0.7470,0.8324,0.7964
2+14,0.8357,0.8244,0.8254,0.8401,0.8314
3+13,0.8488,0.8182,0.7969,0.8423,0.8266
4+12,0.8476,0.8571,0.8212,0.8435,0.8423
5+11,0.8320,0.8507,0.8230,0.8365,0.8356
6+10,0.8581,0.8587,0.8129,0.8480,0.8445
7+9,0.8643,0.8661,0.8377,0.8401,0.8521
8+8,0.8682,0.8483,0.8158,0.8511,0.8458
9+7,0.8587,0.8696,0.8418,0.8607,0.8577
10+6,0.8623,0.8618,0.8281,0.8488,0.8503
11+5,0.8667,0.8695,0.8360,0.8618,0.8585
12+4,0.8431,0.8488,0.8424,0.8566,0.8477
13+3,0.8687,0.8655,0.8355,0.8587,0.8571
14+2,0.8784,0.8504,0.8443,0.8558,0.8572
15+1,0.8718,0.8662,0.8327,0.8449,0.8539
avg,0.8560,0.8484,0.8227,0.8481,0.8438
