old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.1911,0.1792,0.1273,0.2007,0.1746
2+14,0.2523,0.1886,0.1696,0.1992,0.2024
3+13,0.2324,0.1874,0.1800,0.1806,0.1951
4+12,0.2384,0.2343,0.1793,0.1981,0.2125
5+11,0.2257,0.2095,0.1886,0.2116,0.2088
6+10,0.2537,0.2633,0.1708,0.1764,0.2160
7+9,0.2301,0.2181,0.2190,0.2060,0.2183
8+8,0.2322,0.2168,0.1583,0.2111,0.2046
9+7,0.2232,0.2352,0.1984,0.2212,0.2195
10+6,0.2468,0.2507,0.1848,0.1958,0.2195
11+5,0.2550,0.2443,0.1793,0.1986,0.2193
12+4,0.2415,0.2198,0.2061,0.2067,0.2185
13+3,0.2378,0.2172,0.2066,0.2221,0.2209
14+2,0.2224,0.2287,0.2001,0.1897,0.2102
15+1,0.2004,0.2405,0.1782,0.2058,0.2062
avg,0.2322,0.2222,0.1831,0.2016,0.2098
