new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.2344,0.2564,0.1824,0.1946,0.2170
14yr,0.2752,0.2600,0.1749,0.2104,0.2301
13yr,0.2708,0.2492,0.1874,0.2303,0.2344
12yr,0.2960,0.2498,0.1808,0.2292,0.2389
11yr,0.2982,0.2927,0.2267,0.2574,0.2688
10yr,0.2584,0.3019,0.1984,0.2333,0.2480
9yr,0.2983,0.3028,0.2389,0.2379,0.2695
8yr,0.3043,0.2750,0.2078,0.2444,0.2579
7yr,0.2885,0.3024,0.2368,0.2445,0.2680
6yr,0.2995,0.3084,0.2284,0.2527,0.2722
5yr,0.2473,0.2886,0.2136,0.2371,0.2467
4yr,0.2728,0.2993,0.2360,0.2266,0.2587
3yr,0.2661,0.3244,0.2075,0.2483,0.2616
2yr,0.2654,0.3034,0.2219,0.2301,0.2552
1yr,0.2687,0.2639,0.1675,0.2171,0.2293
avg,0.2763,0.2852,0.2073,0.2329,0.2504
