old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0516,0.0437,0.0628,0.0528,0.0527
2yr,0.0620,0.0573,0.0688,0.0743,0.0656
3yr,0.0630,0.0648,0.0645,0.0699,0.0656
4yr,0.0637,0.0874,0.0706,0.0753,0.0742
5yr,0.0838,0.0865,0.0773,0.0769,0.0811
6yr,0.0796,0.0889,0.0789,0.0816,0.0822
7yr,0.0927,0.0958,0.0843,0.0887,0.0904
8yr,0.1000,0.1105,0.0990,0.1015,0.1028
9yr,0.1290,0.1230,0.1008,0.1131,0.1165
10yr,0.1458,0.1586,0.1275,0.1421,0.1435
11yr,0.1535,0.1802,0.1261,0.1564,0.1540
12yr,0.1830,0.1890,0.1338,0.1585,0.1661
13yr,0.1834,0.1876,0.1340,0.1653,0.1676
14yr,0.1949,0.1944,0.1452,0.1898,0.1811
15yr,0.2124,0.2055,0.1607,0.1767,0.1888
avg,0.1199,0.1249,0.1023,0.1149,0.1155
