old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.6654,0.6164,0.5676,0.6179,0.6168
2+14,0.6414,0.6205,0.6495,0.6271,0.6346
3+13,0.6530,0.6474,0.6585,0.6587,0.6544
4+12,0.6675,0.7155,0.6279,0.7016,0.6781
5+11,0.6700,0.6778,0.6499,0.6361,0.6584
6+10,0.6740,0.6774,0.6878,0.7348,0.6935
7+9,0.6943,0.7200,0.6839,0.6875,0.6964
8+8,0.7111,0.7217,0.7030,0.7279,0.7159
9+7,0.7365,0.7236,0.6918,0.6926,0.7111
10+6,0.6841,0.6824,0.6921,0.7125,0.6928
11+5,0.6960,0.7091,0.7184,0.7301,0.7134
12+4,0.6589,0.7146,0.6875,0.7379,0.6997
13+3,0.6892,0.7237,0.6709,0.7287,0.7031
14+2,0.7151,0.6791,0.7099,0.7070,0.7028
15+1,0.7503,0.7206,0.7015,0.7094,0.7205
avg,0.6871,0.6900,0.6733,0.6940,0.6861
