new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6822,0.6443,0.6612,0.7178,0.6764
14yr,0.6765,0.6792,0.6402,0.6673,0.6658
13yr,0.6916,0.6994,0.6624,0.6794,0.6832
12yr,0.6832,0.7079,0.7098,0.7185,0.7049
11yr,0.7142,0.7179,0.6476,0.7132,0.6982
10yr,0.7155,0.6927,0.6816,0.7193,0.7023
9yr,0.6968,0.6883,0.6446,0.7182,0.6870
8yr,0.6996,0.7178,0.6858,0.7029,0.7015
7yr,0.7045,0.6722,0.6001,0.7091,0.6715
6yr,0.6835,0.6751,0.5754,0.6533,0.6468
5yr,0.7605,0.7153,0.6364,0.7200,0.7080
4yr,0.6852,0.6650,0.6152,0.6936,0.6648
3yr,0.6910,0.6401,0.6919,0.6908,0.6784
2yr,0.6181,0.5780,0.5411,0.6388,0.5940
1yr,0.6158,0.5528,0.3430,0.5849,0.5241
avg,0.6879,0.6697,0.6224,0.6885,0.6671
