old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.1190,0.1146,0.0774,0.1331,0.1110
2+14,0.1782,0.1221,0.1036,0.1304,0.1336
3+13,0.1562,0.1179,0.1109,0.1114,0.1241
4+12,0.1593,0.1486,0.1134,0.1211,0.1356
5+11,0.1474,0.1327,0.1186,0.1401,0.1347
6+10,0.1723,0.1808,0.1017,0.1028,0.1394
7+9,0.1478,0.1349,0.1398,0.1287,0.1378
8+8,0.1474,0.1338,0.0919,0.1287,0.1254
9+7,0.1373,0.1483,0.1223,0.1406,0.1371
10+6,0.1640,0.1678,0.1118,0.1184,0.1405
11+5,0.1693,0.1578,0.1059,0.1192,0.1381
12+4,0.1638,0.1369,0.1288,0.1246,0.1385
13+3,0.1552,0.1339,0.1311,0.1372,0.1393
14+2,0.1389,0.1487,0.1220,0.1143,0.1310
15+1,0.1190,0.1530,0.1061,0.1264,0.1262
avg,0.1517,0.1421,0.1123,0.1251,0.1328
