new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1533,0.1817,0.1126,0.1171,0.1412
14yr,0.1927,0.1772,0.1086,0.1346,0.1533
13yr,0.1849,0.1636,0.1164,0.1501,0.1537
12yr,0.2124,0.1628,0.1075,0.1440,0.1567
11yr,0.2064,0.2003,0.1520,0.1686,0.1818
10yr,0.1692,0.2159,0.1232,0.1473,0.1639
9yr,0.2110,0.2181,0.1641,0.1512,0.1861
8yr,0.2165,0.1836,0.1303,0.1588,0.1723
7yr,0.1992,0.2228,0.1728,0.1580,0.1882
6yr,0.2160,0.2286,0.1707,0.1757,0.1978
5yr,0.1538,0.1970,0.1419,0.1503,0.1607
4yr,0.1883,0.2218,0.1679,0.1449,0.1808
3yr,0.1806,0.2636,0.1294,0.1642,0.1845
2yr,0.1993,0.2730,0.1751,0.1568,0.2010
1yr,0.2040,0.2278,0.2857,0.1556,0.2183
avg,0.1925,0.2092,0.1505,0.1518,0.1760
