old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0277,0.0236,0.0346,0.0312,0.0293
2yr,0.0389,0.0322,0.0373,0.0403,0.0372
3yr,0.0382,0.0371,0.0368,0.0385,0.0376
4yr,0.0427,0.0536,0.0405,0.0447,0.0454
5yr,0.0484,0.0489,0.0436,0.0440,0.0462
6yr,0.0484,0.0535,0.0463,0.0455,0.0484
7yr,0.0612,0.0621,0.0486,0.0522,0.0560
8yr,0.0701,0.0681,0.0589,0.0576,0.0637
9yr,0.0860,0.0789,0.0561,0.0639,0.0712
10yr,0.0927,0.0996,0.0749,0.0853,0.0881
11yr,0.0954,0.1181,0.0812,0.0939,0.0971
12yr,0.1195,0.1227,0.0809,0.0969,0.1050
13yr,0.1186,0.1221,0.0778,0.1030,0.1054
14yr,0.1242,0.1263,0.0840,0.1208,0.1138
15yr,0.1415,0.1329,0.0958,0.1092,0.1199
avg,0.0769,0.0786,0.0598,0.0685,0.0710
