old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.4843,0.4111,0.3589,0.4077,0.4155
2+14,0.4321,0.4146,0.4669,0.4216,0.4338
3+13,0.4530,0.4564,0.4774,0.4774,0.4660
4+12,0.4739,0.5540,0.4286,0.5436,0.5000
5+11,0.4808,0.4983,0.4599,0.4321,0.4678
6+10,0.4808,0.4843,0.5331,0.6202,0.5296
7+9,0.5192,0.5679,0.5052,0.5157,0.5270
8+8,0.5470,0.5714,0.5714,0.5854,0.5688
9+7,0.5958,0.5679,0.5261,0.5192,0.5523
10+6,0.4983,0.4948,0.5331,0.5645,0.5226
11+5,0.5157,0.5401,0.5854,0.5958,0.5592
12+4,0.4599,0.5575,0.5157,0.6063,0.5348
13+3,0.5087,0.5749,0.4878,0.5819,0.5383
14+2,0.5575,0.4948,0.5575,0.5575,0.5418
15+1,0.6341,0.5610,0.5540,0.5540,0.5758
avg,0.5094,0.5166,0.5041,0.5322,0.5156
