old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3868,0.3031,0.3380,0.1707,0.2997
2yr,0.1533,0.2613,0.4425,0.4774,0.3336
3yr,0.1812,0.2544,0.2613,0.3798,0.2692
4yr,0.1254,0.2369,0.2753,0.2369,0.2186
5yr,0.3136,0.3763,0.3415,0.3031,0.3336
6yr,0.2230,0.2613,0.2683,0.3937,0.2866
7yr,0.1916,0.2091,0.3171,0.2927,0.2526
8yr,0.1742,0.2927,0.3101,0.4251,0.3005
9yr,0.2578,0.2787,0.4948,0.4913,0.3807
10yr,0.3415,0.3902,0.4286,0.4251,0.3963
11yr,0.3937,0.3798,0.2822,0.4669,0.3807
12yr,0.3902,0.4111,0.3868,0.4355,0.4059
13yr,0.4042,0.4042,0.4843,0.4181,0.4277
14yr,0.4530,0.4216,0.5331,0.4425,0.4625
15yr,0.4251,0.4530,0.4983,0.4634,0.4599
avg,0.2943,0.3289,0.3775,0.3882,0.3472
