old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.0858,0.0760,0.1024,0.0635,0.0819
2+14,0.0477,0.0714,0.0966,0.0673,0.0707
3+13,0.0585,0.0817,0.0915,0.0911,0.0807
4+12,0.0599,0.0759,0.0802,0.0944,0.0776
5+11,0.0665,0.0779,0.0818,0.0634,0.0724
6+10,0.0553,0.0525,0.1127,0.1295,0.0875
7+9,0.0716,0.0871,0.0744,0.0835,0.0792
8+8,0.0757,0.0885,0.1351,0.0948,0.0985
9+7,0.0895,0.0780,0.0904,0.0759,0.0835
10+6,0.0608,0.0587,0.1014,0.1005,0.0803
11+5,0.0605,0.0689,0.1183,0.1054,0.0883
12+4,0.0562,0.0841,0.0835,0.1020,0.0814
13+3,0.0663,0.0890,0.0774,0.0875,0.0800
14+2,0.0827,0.0678,0.0960,0.1034,0.0875
15+1,0.1123,0.0743,0.1116,0.0916,0.0975
avg,0.0700,0.0755,0.0969,0.0903,0.0831
