old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3254,0.3006,0.2255,0.1267,0.2446
2yr,0.0907,0.1879,0.2731,0.2723,0.2060
3yr,0.1093,0.1579,0.1637,0.2268,0.1644
4yr,0.0674,0.1001,0.1561,0.1211,0.1112
5yr,0.1476,0.1752,0.1792,0.1576,0.1649
6yr,0.1049,0.1105,0.1323,0.1977,0.1363
7yr,0.0704,0.0755,0.1486,0.1271,0.1054
8yr,0.0553,0.0958,0.1185,0.1663,0.1090
9yr,0.0655,0.0779,0.1992,0.1722,0.1287
10yr,0.0799,0.0845,0.1267,0.1090,0.1000
11yr,0.0894,0.0679,0.0764,0.1078,0.0854
12yr,0.0688,0.0704,0.1051,0.0971,0.0853
13yr,0.0719,0.0695,0.1374,0.0871,0.0915
14yr,0.0764,0.0698,0.1391,0.0770,0.0906
15yr,0.0617,0.0707,0.1125,0.0905,0.0838
avg,0.0990,0.1143,0.1529,0.1424,0.1271
