new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5017,0.5645,0.5192,0.4251,0.5026
14yr,0.5192,0.5122,0.5505,0.5192,0.5253
13yr,0.4948,0.4774,0.5192,0.5052,0.4991
12yr,0.5122,0.4634,0.4321,0.4390,0.4617
11yr,0.4634,0.4564,0.5540,0.4564,0.4826
10yr,0.4530,0.4983,0.4913,0.4390,0.4704
9yr,0.4913,0.5052,0.5610,0.4425,0.5000
8yr,0.4878,0.4530,0.4878,0.4704,0.4747
7yr,0.4774,0.5296,0.6237,0.4599,0.5226
6yr,0.5122,0.5261,0.6551,0.5505,0.5610
5yr,0.3693,0.4599,0.5679,0.4390,0.4591
4yr,0.5052,0.5401,0.6028,0.4808,0.5322
3yr,0.4948,0.5784,0.4774,0.4913,0.5105
2yr,0.6028,0.6585,0.6969,0.5679,0.6315
1yr,0.6063,0.6864,0.8815,0.6411,0.7038
avg,0.4994,0.5273,0.5747,0.4885,0.5225
