split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_1+15,Old,none,0.567595,0.051616,0.510797,0.386760,0.027653,0.325386,0.613240,0.574157,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}"
split_1+15,Old,undersampling,0.513650,0.043719,0.460441,0.303136,0.023558,0.300625,0.696864,0.574864,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+15,Old,oversampling,0.581818,0.062803,0.511626,0.337979,0.034618,0.225511,0.662021,0.569499,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
split_1+15,Old,hybrid,0.581222,0.052802,0.386130,0.170732,0.031230,0.126719,0.829268,0.574984,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 20, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
split_1+15,New,none,0.859910,0.256410,0.656062,0.452962,0.178817,0.049771,0.547038,0.853665,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 1.0}"
split_1+15,New,undersampling,0.861954,0.252505,0.646230,0.439024,0.177215,0.048770,0.560976,0.857612,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_1+15,New,oversampling,0.818777,0.172705,0.668828,0.498258,0.104456,0.102209,0.501742,0.799544,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_1+15,New,hybrid,0.848203,0.203438,0.674453,0.494774,0.128043,0.080617,0.505226,0.813669,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
split_1+15,Retrain,none,0.856106,0.234332,0.651006,0.449477,0.158477,0.057107,0.550523,0.840736,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+15,Retrain,undersampling,0.856415,0.237996,0.615441,0.397213,0.169896,0.046436,0.602787,0.844265,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}"
split_1+15,Retrain,oversampling,0.798738,0.160906,0.648945,0.470383,0.097052,0.104710,0.529617,0.770301,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 3, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_1+15,Retrain,hybrid,0.843186,0.176309,0.702788,0.557491,0.104712,0.114048,0.442509,0.800338,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_1+15,Finetune,none,0.799967,0.139198,0.658199,0.501742,0.080808,0.136557,0.498258,0.564295,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
split_1+15,Finetune,undersampling,0.770152,0.179195,0.616352,0.411150,0.114563,0.076032,0.588850,0.582711,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
split_1+15,Finetune,oversampling,0.747028,0.127318,0.567577,0.358885,0.077385,0.102376,0.641115,0.556381,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_1+15,Finetune,hybrid,0.823341,0.185328,0.622226,0.418118,0.119048,0.074031,0.581882,0.571488,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 50, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_2+14,Old,none,0.599597,0.062016,0.373369,0.153310,0.038869,0.090704,0.846690,0.662724,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_2+14,Old,undersampling,0.601108,0.069468,0.436080,0.216028,0.041389,0.119717,0.783972,0.649146,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 20, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
split_2+14,Old,oversampling,0.611423,0.063547,0.534172,0.383275,0.034646,0.255523,0.616725,0.617423,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 50, ""n_estimators"": 1000, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 1.0}"
split_2+14,Old,hybrid,0.660563,0.073252,0.616973,0.574913,0.039118,0.337891,0.425087,0.651436,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
split_2+14,New,none,0.859379,0.275174,0.676510,0.480836,0.192737,0.048187,0.519164,0.868318,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_2+14,New,undersampling,0.861813,0.259981,0.679243,0.487805,0.177215,0.054189,0.512195,0.859876,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_2+14,New,oversampling,0.822833,0.205174,0.613741,0.400697,0.137890,0.059942,0.599303,0.808597,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_2+14,New,hybrid,0.856229,0.210366,0.667293,0.480836,0.134634,0.073947,0.519164,0.828737,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_2+14,Finetune,none,0.835721,0.252289,0.641446,0.432056,0.178161,0.047687,0.567944,0.656508,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_2+14,Finetune,undersampling,0.824446,0.188590,0.620520,0.414634,0.122051,0.071363,0.585366,0.653288,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 3, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_2+14,Finetune,oversampling,0.825423,0.169620,0.649450,0.466899,0.103635,0.096624,0.533101,0.639183,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}"
split_2+14,Finetune,hybrid,0.840108,0.199177,0.627087,0.421603,0.130388,0.067278,0.578397,0.652311,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
