metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.7209,0.7169,0.6920,0.7067
AUC,New,0.8557,0.8741,0.8335,0.8725
AUC,Retrain,0.8432,0.8561,0.7987,0.8564
AUC,Finetune,0.8455,0.8471,0.8218,0.8471
F1,Old,0.1119,0.1206,0.1004,0.1221
F1,New,0.2222,0.2762,0.2104,0.2813
F1,Retrain,0.1763,0.2343,0.1609,0.2380
F1,Finetune,0.1942,0.2171,0.1871,0.2197
G_Mean,Old,0.5788,0.5242,0.5592,0.5200
G_Mean,New,0.6889,0.6785,0.6245,0.6562
G_Mean,Retrain,0.7028,0.6510,0.6489,0.6154
G_Mean,Finetune,0.7080,0.6928,0.6578,0.6888
Recall,Old,0.4037,0.3180,0.3765,0.3080
Recall,New,0.5166,0.4876,0.4258,0.4551
Recall,Retrain,0.5575,0.4495,0.4704,0.3972
Recall,Finetune,0.5603,0.5250,0.4755,0.5154
Precision,Old,0.0656,0.0758,0.0587,0.0776
Precision,New,0.1430,0.1963,0.1522,0.2109
Precision,Retrain,0.1047,0.1585,0.0971,0.1699
Precision,Finetune,0.1180,0.1386,0.1171,0.1401
