new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.8599,0.8620,0.8188,0.8482,0.8472
14yr,0.8594,0.8618,0.8228,0.8562,0.8501
13yr,0.8589,0.8604,0.8192,0.8504,0.8472
12yr,0.8846,0.8664,0.8323,0.8604,0.8609
11yr,0.8788,0.8923,0.8342,0.8495,0.8637
10yr,0.8819,0.8820,0.8354,0.8649,0.8660
9yr,0.8841,0.8849,0.8410,0.8670,0.8692
8yr,0.8867,0.8812,0.8442,0.8575,0.8674
7yr,0.8893,0.8801,0.8443,0.8708,0.8711
6yr,0.8825,0.8814,0.8423,0.8602,0.8666
5yr,0.8838,0.8609,0.8420,0.8554,0.8605
4yr,0.8605,0.8815,0.8357,0.8593,0.8593
3yr,0.8772,0.8824,0.8575,0.8630,0.8700
2yr,0.8654,0.8550,0.8296,0.8504,0.8501
1yr,0.8590,0.8551,0.8022,0.8220,0.8346
avg,0.8741,0.8725,0.8335,0.8557,0.8589
