new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.2564,0.2525,0.1727,0.2034,0.2213
14yr,0.2752,0.2600,0.2052,0.2104,0.2377
13yr,0.2708,0.2534,0.1877,0.2303,0.2356
12yr,0.2590,0.2807,0.1937,0.2292,0.2406
11yr,0.3080,0.2927,0.2267,0.2005,0.2570
10yr,0.2584,0.2795,0.1934,0.2333,0.2412
9yr,0.2632,0.3028,0.2389,0.2379,0.2607
8yr,0.3043,0.3214,0.2078,0.2304,0.2660
7yr,0.3004,0.2948,0.2368,0.2445,0.2691
6yr,0.2995,0.3084,0.2278,0.2269,0.2656
5yr,0.2673,0.2864,0.2593,0.2257,0.2597
4yr,0.2814,0.2993,0.2400,0.2399,0.2651
3yr,0.2661,0.2758,0.2075,0.2483,0.2494
2yr,0.2772,0.2480,0.1912,0.2088,0.2313
1yr,0.2557,0.2639,0.1675,0.1636,0.2127
avg,0.2762,0.2813,0.2104,0.2222,0.2475
