old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0516,0.0437,0.0628,0.0528,0.0527
2yr,0.0620,0.0695,0.0635,0.0733,0.0671
3yr,0.0700,0.0623,0.0612,0.0699,0.0659
4yr,0.0637,0.0874,0.0706,0.0800,0.0754
5yr,0.0838,0.0787,0.0808,0.0883,0.0829
6yr,0.0796,0.0850,0.0789,0.0777,0.0803
7yr,0.0964,0.0925,0.0843,0.0887,0.0904
8yr,0.1076,0.1075,0.0850,0.0944,0.0986
9yr,0.1255,0.1361,0.1008,0.1131,0.1189
10yr,0.1424,0.1509,0.1092,0.1374,0.1350
11yr,0.1535,0.1802,0.1257,0.1564,0.1539
12yr,0.1830,0.1700,0.1236,0.1512,0.1570
13yr,0.1834,0.1876,0.1398,0.1564,0.1668
14yr,0.1949,0.1751,0.1596,0.1653,0.1737
15yr,0.2124,0.2055,0.1607,0.1730,0.1879
avg,0.1206,0.1221,0.1004,0.1119,0.1138
