new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6561,0.6462,0.6688,0.6745,0.6614
14yr,0.6765,0.6792,0.6137,0.6673,0.6592
13yr,0.6916,0.6762,0.6273,0.6794,0.6686
12yr,0.7338,0.6883,0.6575,0.7185,0.6995
11yr,0.6797,0.7179,0.6476,0.7379,0.6958
10yr,0.7155,0.7121,0.6743,0.7193,0.7053
9yr,0.6950,0.6883,0.6446,0.7182,0.6865
8yr,0.6996,0.6738,0.6858,0.7207,0.6950
7yr,0.6970,0.7202,0.6001,0.7091,0.6816
6yr,0.6835,0.6751,0.5913,0.7100,0.6650
5yr,0.7391,0.6249,0.6276,0.7017,0.6733
4yr,0.6563,0.6650,0.6157,0.6280,0.6412
3yr,0.6910,0.6605,0.6919,0.6908,0.6835
2yr,0.6463,0.4619,0.6779,0.5680,0.5885
1yr,0.5160,0.5528,0.3430,0.6908,0.5256
avg,0.6785,0.6562,0.6245,0.6889,0.6620
