old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5108,0.4604,0.5116,0.3861,0.4672
2yr,0.3734,0.4361,0.5342,0.6170,0.4901
3yr,0.4179,0.4583,0.5077,0.5419,0.4814
4yr,0.3420,0.4617,0.4820,0.4907,0.4441
5yr,0.5170,0.4246,0.5464,0.5663,0.5136
6yr,0.4468,0.5312,0.4825,0.4990,0.4899
7yr,0.5013,0.4220,0.5196,0.5055,0.4871
8yr,0.5264,0.4554,0.4579,0.5482,0.4970
9yr,0.5785,0.5156,0.6295,0.6377,0.5903
10yr,0.5572,0.5887,0.5759,0.6422,0.5910
11yr,0.5988,0.5950,0.6288,0.6454,0.6170
12yr,0.6028,0.5832,0.6427,0.6312,0.6150
13yr,0.6125,0.6133,0.6312,0.6595,0.6291
14yr,0.6468,0.6061,0.5736,0.6398,0.6166
15yr,0.6316,0.6488,0.6650,0.6709,0.6541
avg,0.5242,0.5200,0.5592,0.5788,0.5456
