new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1788,0.1772,0.1045,0.1280,0.1471
14yr,0.1927,0.1772,0.1379,0.1346,0.1606
13yr,0.1849,0.1716,0.1204,0.1501,0.1568
12yr,0.1668,0.1954,0.1220,0.1440,0.1570
11yr,0.2266,0.2003,0.1520,0.1199,0.1747
10yr,0.1692,0.1890,0.1200,0.1473,0.1564
9yr,0.1771,0.2181,0.1641,0.1512,0.1776
8yr,0.2165,0.2441,0.1303,0.1448,0.1839
7yr,0.2131,0.2018,0.1728,0.1580,0.1864
6yr,0.2160,0.2286,0.1654,0.1431,0.1883
5yr,0.1732,0.2218,0.1894,0.1431,0.1819
4yr,0.2048,0.2218,0.1719,0.1688,0.1918
3yr,0.1806,0.1976,0.1294,0.1642,0.1680
2yr,0.2033,0.2911,0.1179,0.1511,0.1908
1yr,0.2415,0.2278,0.2857,0.0963,0.2128
avg,0.1963,0.2109,0.1522,0.1430,0.1756
