old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3254,0.3006,0.2255,0.1267,0.2446
2yr,0.0907,0.1197,0.2555,0.3379,0.2010
3yr,0.1049,0.1627,0.2295,0.2268,0.1810
4yr,0.0674,0.1001,0.1561,0.1361,0.1149
5yr,0.1476,0.0921,0.1839,0.1782,0.1505
6yr,0.1049,0.1563,0.1323,0.1492,0.1357
7yr,0.1095,0.0706,0.1486,0.1271,0.1139
8yr,0.1065,0.0700,0.1019,0.1461,0.1061
9yr,0.1105,0.0697,0.1992,0.1722,0.1379
10yr,0.0815,0.0875,0.1348,0.1297,0.1084
11yr,0.0894,0.0679,0.1402,0.1078,0.1013
12yr,0.0688,0.0703,0.1533,0.1065,0.0997
13yr,0.0719,0.0695,0.1203,0.1146,0.0941
14yr,0.0764,0.0751,0.0741,0.0964,0.0805
15yr,0.0617,0.0707,0.1125,0.1029,0.0870
avg,0.1078,0.1055,0.1578,0.1506,0.1304
