new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5470,0.5610,0.5017,0.5052,0.5287
14yr,0.5192,0.5122,0.5993,0.5192,0.5375
13yr,0.4948,0.5157,0.5749,0.5052,0.5226
12yr,0.4216,0.5017,0.5296,0.4390,0.4730
11yr,0.5192,0.4564,0.5540,0.3902,0.4800
10yr,0.4530,0.4634,0.5017,0.4390,0.4643
9yr,0.4878,0.5052,0.5610,0.4425,0.4991
8yr,0.4878,0.5296,0.4878,0.4355,0.4852
7yr,0.4913,0.4530,0.6237,0.4599,0.5070
6yr,0.5122,0.5261,0.6341,0.4530,0.5314
5yr,0.4146,0.5958,0.5889,0.4669,0.5166
4yr,0.5505,0.5401,0.6028,0.5854,0.5697
3yr,0.4948,0.5436,0.4774,0.4913,0.5017
2yr,0.5645,0.7840,0.4948,0.6620,0.6263
1yr,0.7282,0.6864,0.8815,0.4564,0.6882
avg,0.5124,0.5449,0.5742,0.4834,0.5287
