new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.8411,0.8578,0.8213,0.8448,0.8413
14yr,0.8532,0.8508,0.8199,0.8397,0.8409
13yr,0.8528,0.8512,0.8268,0.8450,0.8440
12yr,0.8631,0.8724,0.8321,0.8554,0.8557
11yr,0.8791,0.8807,0.8248,0.8576,0.8605
10yr,0.8828,0.8835,0.8364,0.8639,0.8666
9yr,0.8751,0.8700,0.8379,0.8584,0.8604
8yr,0.8706,0.8657,0.8440,0.8593,0.8599
7yr,0.8784,0.8769,0.8376,0.8687,0.8654
6yr,0.8716,0.8713,0.8427,0.8615,0.8618
5yr,0.8693,0.8617,0.8275,0.8567,0.8538
4yr,0.8553,0.8581,0.8376,0.8592,0.8525
3yr,0.8599,0.8681,0.8403,0.8578,0.8565
2yr,0.8432,0.8555,0.8310,0.8423,0.8430
1yr,0.8403,0.8471,0.8115,0.8061,0.8262
avg,0.8624,0.8647,0.8314,0.8518,0.8526
