old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0559,0.0501,0.0554,0.0572,0.0547
2yr,0.0702,0.0535,0.0587,0.0730,0.0639
3yr,0.0606,0.0604,0.0634,0.0695,0.0635
4yr,0.0814,0.0792,0.0704,0.0721,0.0758
5yr,0.0880,0.0844,0.0697,0.0817,0.0810
6yr,0.0832,0.0840,0.0708,0.0741,0.0780
7yr,0.0993,0.1021,0.0901,0.0883,0.0949
8yr,0.0978,0.1046,0.0836,0.1084,0.0986
9yr,0.1258,0.1213,0.1011,0.1101,0.1146
10yr,0.1433,0.1576,0.1174,0.1232,0.1354
11yr,0.1701,0.1591,0.1136,0.1448,0.1469
12yr,0.1699,0.1737,0.1221,0.1472,0.1532
13yr,0.1921,0.1812,0.1322,0.1594,0.1662
14yr,0.2027,0.1932,0.1457,0.1600,0.1754
15yr,0.2309,0.2178,0.1799,0.1818,0.2026
avg,0.1248,0.1215,0.0983,0.1101,0.1136
