new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6558,0.6771,0.6594,0.7139,0.6765
14yr,0.6687,0.6772,0.6011,0.6743,0.6553
13yr,0.6671,0.7166,0.6698,0.7197,0.6933
12yr,0.6995,0.6814,0.6866,0.6950,0.6906
11yr,0.7073,0.6893,0.6081,0.7225,0.6818
10yr,0.6921,0.7348,0.6602,0.7287,0.7039
9yr,0.7353,0.6580,0.6423,0.7337,0.6923
8yr,0.6974,0.7277,0.6865,0.6959,0.7019
7yr,0.6689,0.6924,0.6017,0.7211,0.6710
6yr,0.6817,0.6444,0.6295,0.6690,0.6561
5yr,0.7047,0.6685,0.6077,0.6828,0.6659
4yr,0.6152,0.5335,0.6100,0.6600,0.6047
3yr,0.6074,0.6723,0.7140,0.6972,0.6728
2yr,0.5033,0.5617,0.5714,0.6217,0.5645
1yr,0.5615,0.7038,0.3801,0.6111,0.5641
avg,0.6577,0.6693,0.6219,0.6898,0.6597
