old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4856,0.5176,0.5249,0.4856,0.5034
2yr,0.4083,0.4425,0.4732,0.5637,0.4719
3yr,0.3800,0.4160,0.4992,0.5099,0.4513
4yr,0.4352,0.5070,0.4617,0.4949,0.4747
5yr,0.4209,0.3951,0.4715,0.5245,0.4530
6yr,0.4161,0.4329,0.4983,0.4820,0.4573
7yr,0.4372,0.4634,0.4880,0.5525,0.4853
8yr,0.5173,0.5399,0.5488,0.5439,0.5375
9yr,0.4749,0.5387,0.5406,0.5969,0.5378
10yr,0.5699,0.5630,0.6089,0.6332,0.5938
11yr,0.5757,0.5785,0.6009,0.6098,0.5912
12yr,0.5601,0.5839,0.5563,0.6655,0.5914
13yr,0.5792,0.5801,0.6096,0.6230,0.5980
14yr,0.6206,0.6397,0.6515,0.7037,0.6539
15yr,0.6171,0.6300,0.6257,0.6834,0.6391
avg,0.4999,0.5219,0.5440,0.5782,0.5360
