new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1590,0.1622,0.1137,0.1081,0.1357
14yr,0.1677,0.1630,0.1233,0.1364,0.1476
13yr,0.1928,0.1447,0.1125,0.1085,0.1396
12yr,0.1522,0.1765,0.1191,0.1634,0.1528
11yr,0.1863,0.2301,0.1344,0.1524,0.1758
10yr,0.1888,0.1720,0.1438,0.1309,0.1589
9yr,0.1551,0.2267,0.1481,0.1287,0.1646
8yr,0.1952,0.1675,0.1525,0.1559,0.1678
7yr,0.2114,0.1910,0.1624,0.1317,0.1741
6yr,0.2220,0.2480,0.1606,0.1694,0.2000
5yr,0.1830,0.2071,0.1481,0.1565,0.1737
4yr,0.1952,0.3051,0.1672,0.1719,0.2098
3yr,0.2412,0.1772,0.1173,0.1518,0.1719
2yr,0.2615,0.2274,0.1336,0.1581,0.1951
1yr,0.2230,0.1113,0.2121,0.1235,0.1675
avg,0.1956,0.1940,0.1432,0.1431,0.1690
