new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5436,0.5122,0.5226,0.4251,0.5009
14yr,0.5261,0.5122,0.6132,0.5087,0.5401
13yr,0.5331,0.4425,0.5052,0.4146,0.4739
12yr,0.4739,0.5087,0.4808,0.4843,0.4869
11yr,0.4704,0.5052,0.6063,0.4355,0.5044
10yr,0.4948,0.4216,0.5331,0.4146,0.4660
9yr,0.4146,0.5505,0.5610,0.4042,0.4826
8yr,0.4878,0.4321,0.4948,0.4808,0.4739
7yr,0.5331,0.4948,0.6202,0.4286,0.5192
6yr,0.5157,0.5714,0.5819,0.5261,0.5488
5yr,0.4739,0.5331,0.6098,0.5017,0.5296
4yr,0.6063,0.7108,0.6098,0.5401,0.6167
3yr,0.6202,0.5226,0.4321,0.4774,0.5131
2yr,0.7422,0.6760,0.6551,0.5923,0.6664
1yr,0.6760,0.4460,0.8537,0.5993,0.6437
avg,0.5408,0.5226,0.5786,0.4822,0.5311
