old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.6934,0.5714,0.5993,0.6969,0.6402
2yr,0.8153,0.7596,0.7213,0.5819,0.7195
3yr,0.8397,0.8014,0.6864,0.6794,0.7517
4yr,0.7909,0.6969,0.7526,0.7073,0.7369
5yr,0.8084,0.8328,0.7387,0.6725,0.7631
6yr,0.8118,0.7944,0.7003,0.7282,0.7587
7yr,0.7944,0.7666,0.7317,0.6341,0.7317
8yr,0.6969,0.6690,0.6341,0.6655,0.6664
9yr,0.7596,0.6794,0.6655,0.5819,0.6716
10yr,0.6446,0.6585,0.5679,0.5296,0.6002
11yr,0.6446,0.6376,0.5784,0.5854,0.6115
12yr,0.6655,0.6341,0.6551,0.4913,0.6115
13yr,0.6446,0.6411,0.5784,0.5714,0.6089
14yr,0.5889,0.5575,0.5157,0.4286,0.5226
15yr,0.5993,0.5784,0.5749,0.4808,0.5584
avg,0.7199,0.6852,0.6467,0.6023,0.6635
