split,method,sampling,tune_val_auc,tune_best_params
split_1+15,Old,none,0.573436,"{""learning_rate"": 0.2, ""max_depth"": 3, ""min_child_weight"": 50, ""n_estimators"": 100}"
split_1+15,Old,undersampling,0.573102,"{""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 100}"
split_1+15,Old,oversampling,0.554700,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100}"
split_1+15,Old,hybrid,0.586541,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 50, ""n_estimators"": 100}"
split_1+15,New,none,0.850074,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_1+15,New,undersampling,0.858642,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_1+15,New,oversampling,0.810957,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_1+15,New,hybrid,0.814574,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_1+15,Retrain,none,0.843722,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_1+15,Retrain,undersampling,0.848855,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_1+15,Retrain,oversampling,0.797761,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_1+15,Retrain,hybrid,0.808274,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_1+15,Finetune,none,0.566163,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 50, ""n_estimators"": 100}"
split_1+15,Finetune,undersampling,0.563641,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 50, ""n_estimators"": 100}"
split_1+15,Finetune,oversampling,0.554700,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100}"
split_1+15,Finetune,hybrid,0.574237,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100}"
split_2+14,Old,none,0.659409,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_2+14,Old,undersampling,0.647310,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 50, ""n_estimators"": 1000}"
split_2+14,Old,oversampling,0.625951,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_2+14,Old,hybrid,0.651197,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_2+14,New,none,0.863331,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_2+14,New,undersampling,0.866690,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_2+14,New,oversampling,0.817589,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_2+14,New,hybrid,0.829298,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_2+14,Finetune,none,0.664795,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100}"
split_2+14,Finetune,undersampling,0.649528,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_2+14,Finetune,oversampling,0.623469,"{""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_2+14,Finetune,hybrid,0.650034,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_3+13,Old,none,0.730243,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_3+13,Old,undersampling,0.725411,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_3+13,Old,oversampling,0.692173,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_3+13,Old,hybrid,0.716446,"{""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 400}"
split_3+13,New,none,0.866559,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_3+13,New,undersampling,0.865292,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_3+13,New,oversampling,0.820321,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000}"
split_3+13,New,hybrid,0.840664,"{""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_3+13,Finetune,none,0.730243,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_3+13,Finetune,undersampling,0.725871,"{""learning_rate"": 0.3, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100}"
split_3+13,Finetune,oversampling,0.690129,"{""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 700}"
split_3+13,Finetune,hybrid,0.721797,"{""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 700}"
