split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_1+7,Old,none,0.622615,0.237505,0.585867,0.521920,0.153731,0.342351,0.478080,0.644780,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_1+7,Old,undersampling,0.629194,0.236227,0.593251,0.632210,0.145250,0.443308,0.367790,0.640362,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 20, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
split_1+7,Old,oversampling,0.597682,0.218319,0.531130,0.372866,0.154346,0.243429,0.627134,0.627556,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
split_1+7,Old,hybrid,0.610805,0.220220,0.567550,0.637287,0.133108,0.494556,0.362713,0.637382,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
split_1+7,New,none,0.665738,0.260320,0.601339,0.503461,0.175543,0.281755,0.496539,0.680778,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 50, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}"
split_1+7,New,undersampling,0.666783,0.262754,0.603866,0.506230,0.177422,0.279666,0.493770,0.680371,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 50, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+7,New,oversampling,0.653982,0.257268,0.591399,0.475773,0.176300,0.264874,0.524227,0.675166,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
split_1+7,New,hybrid,0.659404,0.256804,0.596280,0.494232,0.173469,0.280600,0.505768,0.673834,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_1+7,Retrain,none,0.664485,0.259613,0.603513,0.514075,0.173655,0.291488,0.485925,0.675249,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_1+7,Retrain,undersampling,0.663806,0.260412,0.597873,0.490540,0.177255,0.271308,0.509460,0.675712,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_1+7,Retrain,oversampling,0.655659,0.257136,0.603833,0.523766,0.170395,0.303860,0.476234,0.668274,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+7,Retrain,hybrid,0.661439,0.261764,0.592562,0.469774,0.181429,0.252557,0.530226,0.671760,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
