split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,drift_AUC,drift_F1,drift_G_Mean,drift_Recall,drift_Precision,drift_Type1_Error,drift_Type2_Error
split_1+3,Old,none,0.535370,0.064116,0.315276,0.109155,0.045388,0.089376,0.890845,0.510548,0.017778,0.168467,0.029851,0.012658,0.049227,0.970149
split_1+3,Old,undersampling,0.538875,0.066950,0.318442,0.110915,0.047945,0.085744,0.889085,0.512196,0.018100,0.168579,0.029851,0.012987,0.047965,0.970149
split_1+3,Old,oversampling,0.525498,0.062103,0.270538,0.077465,0.051826,0.055175,0.922535,0.534860,0.012821,0.120461,0.014925,0.011236,0.027769,0.985075
split_1+3,Old,hybrid,0.510819,0.047745,0.243830,0.063380,0.038298,0.061960,0.936620,0.513308,0.028986,0.170882,0.029851,0.028169,0.021773,0.970149
split_1+3,New,none,0.575419,0.083095,0.371567,0.153169,0.057012,0.098629,0.846831,0.561065,0.040936,0.309260,0.104478,0.025455,0.084569,0.895522
split_1+3,New,undersampling,0.586005,0.093089,0.396048,0.174296,0.063502,0.100069,0.825704,0.622825,0.050279,0.349821,0.134328,0.030928,0.088987,0.865672
split_1+3,New,oversampling,0.606039,0.096266,0.424341,0.204225,0.062975,0.118300,0.795775,0.591921,0.068230,0.457950,0.238806,0.039801,0.121805,0.761194
split_1+3,New,hybrid,0.598262,0.085314,0.338773,0.123239,0.065238,0.068746,0.876761,0.614406,0.038339,0.287698,0.089552,0.024390,0.075734,0.910448
split_1+3,Retrain,none,0.575844,0.085374,0.318600,0.107394,0.070848,0.054832,0.892606,0.548207,0.041667,0.265839,0.074627,0.028902,0.053014,0.925373
split_1+3,Retrain,undersampling,0.572930,0.090447,0.377638,0.156690,0.063571,0.089856,0.843310,0.590518,0.068750,0.389412,0.164179,0.043478,0.076365,0.835821
split_1+3,Retrain,oversampling,0.605764,0.082335,0.303478,0.096831,0.071615,0.048869,0.903169,0.605693,0.054054,0.313653,0.104478,0.036458,0.058378,0.895522
split_1+3,Retrain,hybrid,0.610151,0.107527,0.418932,0.193662,0.074425,0.093763,0.806338,0.598508,0.056122,0.384593,0.164179,0.033846,0.099085,0.835821
split_2+2,Old,none,0.564529,0.087083,0.425820,0.211268,0.054845,0.141741,0.788732,0.570105,0.047619,0.393808,0.179104,0.027460,0.134112,0.820896
split_2+2,Old,undersampling,0.567874,0.088557,0.354116,0.135563,0.065756,0.074983,0.864437,0.568671,0.038217,0.287649,0.089552,0.024291,0.076049,0.910448
split_2+2,Old,oversampling,0.600974,0.096401,0.351823,0.132042,0.075911,0.062577,0.867958,0.543434,0.049180,0.291067,0.089552,0.033898,0.053960,0.910448
split_2+2,Old,hybrid,0.553915,0.091052,0.312374,0.102113,0.082153,0.044414,0.897887,0.538474,0.021505,0.169554,0.029851,0.016807,0.036920,0.970149
split_2+2,New,none,0.560748,0.079317,0.355335,0.139085,0.055478,0.092186,0.860915,0.576984,0.056075,0.352056,0.134328,0.035433,0.077311,0.865672
split_2+2,New,undersampling,0.569131,0.078924,0.273485,0.077465,0.080439,0.034476,0.922535,0.555437,0.067114,0.269840,0.074627,0.060976,0.024298,0.925373
split_2+2,New,oversampling,0.602940,0.087404,0.369318,0.149648,0.061728,0.088554,0.850352,0.622573,0.077381,0.422322,0.194030,0.048327,0.080783,0.805970
split_2+2,New,hybrid,0.606155,0.097713,0.388816,0.165493,0.069322,0.086498,0.834507,0.565075,0.046921,0.330727,0.119403,0.029197,0.083938,0.880597
split_3+1,Old,none,0.569029,0.081301,0.303292,0.096831,0.070064,0.050034,0.903169,0.576115,0.064516,0.315853,0.104478,0.046667,0.045125,0.895522
split_3+1,Old,undersampling,0.571565,0.048246,0.194622,0.038732,0.063953,0.022070,0.961268,0.584018,0.031496,0.171185,0.029851,0.033333,0.018302,0.970149
split_3+1,Old,oversampling,0.597248,0.100668,0.396720,0.172535,0.071066,0.087800,0.827465,0.592936,0.063953,0.387812,0.164179,0.039711,0.083938,0.835821
split_3+1,Old,hybrid,0.618579,0.112431,0.440829,0.216549,0.075926,0.102605,0.783451,0.615623,0.052770,0.367464,0.149254,0.032051,0.095298,0.850746
split_3+1,New,none,0.545053,0.086690,0.369096,0.149648,0.061019,0.089650,0.850352,0.551622,0.058140,0.369701,0.149254,0.036101,0.084254,0.850746
split_3+1,New,undersampling,0.540342,0.083942,0.380742,0.161972,0.056650,0.105003,0.838028,0.584145,0.070588,0.446821,0.223881,0.041899,0.108236,0.776119
split_3+1,New,oversampling,0.549318,0.087197,0.323616,0.110915,0.071836,0.055792,0.889085,0.553193,0.037736,0.264730,0.074627,0.025253,0.060902,0.925373
split_3+1,New,hybrid,0.557384,0.095563,0.369698,0.147887,0.070588,0.075805,0.852113,0.518667,0.031447,0.262362,0.074627,0.019920,0.077627,0.925373
