metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.5915,0.6050,0.5788,0.5782
AUC,New,0.5999,0.6014,0.5938,0.5846
AUC,Retrain,0.6183,0.6398,0.6302,0.6212
F1,Old,0.0902,0.0842,0.0955,0.0693
F1,New,0.0937,0.0956,0.0934,0.0894
F1,Retrain,0.1193,0.0948,0.1107,0.0958
G_Mean,Old,0.3387,0.3554,0.4212,0.2978
G_Mean,New,0.4162,0.3718,0.3974,0.3740
G_Mean,Retrain,0.4336,0.3342,0.4934,0.3366
Recall,Old,0.1309,0.1590,0.2042,0.1074
Recall,New,0.1995,0.1520,0.1766,0.1549
Recall,Retrain,0.2060,0.1180,0.2870,0.1197
Precision,Old,0.0725,0.0677,0.0637,0.0619
Precision,New,0.0623,0.0715,0.0642,0.0638
Precision,Retrain,0.0840,0.0792,0.0686,0.0799
