split,method,sampling,tune_val_auc,tune_best_params
split_1+3,Old,none,0.719941,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}"
split_1+3,Old,undersampling,0.717847,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
split_1+3,Old,oversampling,0.778488,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.7}"
split_1+3,Old,hybrid,0.762463,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}"
split_1+3,New,none,0.737983,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
split_1+3,New,undersampling,0.733941,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 20, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}"
split_1+3,New,oversampling,0.726360,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+3,New,hybrid,0.724085,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_1+3,Retrain,none,0.736858,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+3,Retrain,undersampling,0.733419,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+3,Retrain,oversampling,0.723300,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 1.0}"
split_1+3,Retrain,hybrid,0.728176,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_2+2,Old,none,0.764877,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 20, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_2+2,Old,undersampling,0.768071,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 20, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_2+2,Old,oversampling,0.741310,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_2+2,Old,hybrid,0.743310,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_2+2,New,none,0.731234,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 50, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_2+2,New,undersampling,0.734135,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}"
split_2+2,New,oversampling,0.723147,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_2+2,New,hybrid,0.730224,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}"
split_3+1,Old,none,0.765759,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_3+1,Old,undersampling,0.765063,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 20, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}"
split_3+1,Old,oversampling,0.755644,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_3+1,Old,hybrid,0.756553,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_3+1,New,none,0.702937,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.7}"
split_3+1,New,undersampling,0.701414,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.85}"
split_3+1,New,oversampling,0.701221,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_3+1,New,hybrid,0.689241,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
