split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params,drift_AUC,drift_F1,drift_G_Mean,drift_Recall,drift_Precision,drift_Type1_Error,drift_Type2_Error
split_1+3,Old,none,0.584335,0.094694,0.494728,0.306338,0.056003,0.201028,0.693662,0.719941,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",0.556591,0.043689,0.346534,0.134328,0.026087,0.106027,0.865672
split_1+3,Old,undersampling,0.512691,0.067703,0.382330,0.172535,0.042114,0.152776,0.827465,0.717847,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.85}",0.481851,0.029586,0.261463,0.074627,0.018450,0.083938,0.925373
split_1+3,Old,oversampling,0.535550,0.080047,0.441843,0.239437,0.048057,0.184647,0.760563,0.778488,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.7}",0.485463,0.025641,0.279982,0.089552,0.014963,0.124645,0.910448
split_1+3,Old,hybrid,0.554715,0.068276,0.263162,0.072183,0.064771,0.040576,0.927817,0.762463,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",0.525049,0.000000,0.000000,0.000000,0.000000,0.015462,1.000000
split_1+3,New,none,0.627560,0.100651,0.372856,0.149648,0.075825,0.071008,0.850352,0.737983,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.85}",0.604388,0.016529,0.167992,0.029851,0.011429,0.054591,0.970149
split_1+3,New,undersampling,0.624017,0.093943,0.353370,0.133803,0.072381,0.066758,0.866197,0.733941,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 20, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",0.603018,0.044248,0.266459,0.074627,0.031447,0.048596,0.925373
split_1+3,New,oversampling,0.610418,0.098117,0.397689,0.174296,0.068276,0.092598,0.825704,0.726360,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.577036,0.050891,0.366566,0.149254,0.030675,0.099716,0.850746
split_1+3,New,hybrid,0.627474,0.105309,0.435356,0.213028,0.069942,0.110281,0.786972,0.724085,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",0.571737,0.063348,0.430293,0.208955,0.037333,0.113916,0.791045
split_1+3,Retrain,none,0.639757,0.094767,0.334155,0.117958,0.079196,0.053393,0.882042,0.736858,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.594121,0.033520,0.207933,0.044776,0.026786,0.034396,0.955224
split_1+3,Retrain,undersampling,0.621156,0.095842,0.336591,0.119718,0.079906,0.053667,0.880282,0.733419,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.599083,0.050251,0.267649,0.074627,0.037879,0.040076,0.925373
split_1+3,Retrain,oversampling,0.630223,0.110734,0.493401,0.286972,0.068603,0.151679,0.713028,0.723300,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.593226,0.056951,0.461148,0.253731,0.032075,0.161881,0.746269
split_1+3,Retrain,hybrid,0.618339,0.119327,0.433556,0.205986,0.083991,0.087457,0.794014,0.728176,"{""colsample_bytree"": 0.85, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.596073,0.054945,0.368424,0.149254,0.033670,0.090565,0.850746
split_2+2,Old,none,0.614026,0.073826,0.272737,0.077465,0.070513,0.039753,0.922535,0.764877,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 20, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.602434,0.041096,0.209051,0.044776,0.037975,0.023982,0.955224
split_2+2,Old,undersampling,0.585069,0.040956,0.176221,0.031690,0.057878,0.020082,0.968310,0.768071,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 20, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.586700,0.036364,0.171652,0.029851,0.046512,0.012938,0.970149
split_2+2,Old,oversampling,0.597355,0.102330,0.402383,0.177817,0.071835,0.089445,0.822183,0.741310,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",0.540613,0.078788,0.422756,0.194030,0.049430,0.078889,0.805970
split_2+2,Old,hybrid,0.580988,0.081061,0.303248,0.096831,0.069708,0.050308,0.903169,0.743310,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 800, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 1.0}",0.537306,0.054348,0.268308,0.074627,0.042735,0.035342,0.925373
split_2+2,New,none,0.614840,0.092114,0.331412,0.116197,0.076301,0.054764,0.883803,0.731234,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 50, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.603948,0.052632,0.268045,0.074627,0.040650,0.037236,0.925373
split_2+2,New,undersampling,0.570011,0.085129,0.361038,0.142606,0.060674,0.085949,0.857394,0.734135,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 1000, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5, ""subsample"": 0.7}",0.603809,0.049383,0.331694,0.119403,0.031128,0.078574,0.880597
split_2+2,New,oversampling,0.599610,0.097933,0.381622,0.158451,0.070866,0.080877,0.841549,0.723147,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.588264,0.069401,0.389611,0.164179,0.044000,0.075418,0.835821
split_2+2,New,hybrid,0.609251,0.092126,0.372586,0.151408,0.066205,0.083139,0.848592,0.730224,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}",0.562075,0.042945,0.310112,0.104478,0.027027,0.079520,0.895522
split_3+1,Old,none,0.616770,0.084127,0.298702,0.093310,0.076590,0.043797,0.906690,0.765759,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",0.624094,0.022857,0.169860,0.029851,0.018519,0.033449,0.970149
split_3+1,Old,undersampling,0.636863,0.099186,0.334916,0.117958,0.085568,0.049075,0.882042,0.765063,"{""colsample_bytree"": 0.85, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 20, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}",0.637451,0.050505,0.267693,0.074627,0.038168,0.039760,0.925373
split_3+1,Old,oversampling,0.603535,0.104225,0.419509,0.195423,0.071063,0.099452,0.804577,0.755644,"{""colsample_bytree"": 0.85, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",0.617599,0.066116,0.403799,0.179104,0.040541,0.089618,0.820896
split_3+1,Old,hybrid,0.638662,0.121125,0.449562,0.223592,0.083061,0.096093,0.776408,0.756553,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}",0.618400,0.057637,0.369509,0.149254,0.035714,0.085200,0.850746
split_3+1,New,none,0.561697,0.093913,0.411067,0.190141,0.062356,0.111309,0.809859,0.702937,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.7}",0.559294,0.070922,0.446979,0.223881,0.042135,0.107605,0.776119
split_3+1,New,undersampling,0.559879,0.089204,0.407579,0.188380,0.058438,0.118163,0.811620,0.701414,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.2, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.85}",0.584440,0.075294,0.461556,0.238806,0.044693,0.107920,0.761194
split_3+1,New,oversampling,0.571303,0.084053,0.412742,0.197183,0.053410,0.136052,0.802817,0.701221,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}",0.536993,0.045714,0.392298,0.179104,0.026201,0.140738,0.820896
split_3+1,New,hybrid,0.562963,0.083516,0.440782,0.234155,0.050822,0.170254,0.765845,0.689241,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 3, ""n_estimators"": 800, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.520728,0.042553,0.401893,0.194030,0.023897,0.167561,0.805970
