combo,size,n_old,n_new,models,dataset,split_mode,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
combo_size2_o1n1_Ounder_Nunder,2,1,1,"old_under,new_under",bankruptcy,chronological,0.881261791716351,0.23909774436090225,0.7163645091200116,0.554006968641115,0.15244487056567593,0.07369737390579408,0.445993031358885
combo_size2_o1n1_Ounder_Nover,2,1,1,"old_under,new_over",bankruptcy,chronological,0.8529642868035897,0.1855921855921856,0.6904180826332018,0.5296167247386759,0.11250925240562547,0.09995831596498542,0.47038327526132406
combo_size2_o1n1_Ounder_Nhybrid,2,1,1,"old_under,new_hybrid",bankruptcy,chronological,0.8670584288168851,0.20021762785636563,0.7536914869013239,0.6411149825783972,0.11863313990973566,0.11396415172988746,0.3588850174216028
combo_size2_o1n1_Oover_Nunder,2,1,1,"old_over,new_under",bankruptcy,chronological,0.8578754504272251,0.251105216622458,0.6825080242466128,0.49477351916376305,0.16824644549763032,0.058524385160483534,0.5052264808362369
combo_size2_o1n1_Oover_Nover,2,1,1,"old_over,new_over",bankruptcy,chronological,0.8064812138623382,0.17493796526054592,0.6654285274516801,0.4912891986062718,0.10641509433962264,0.09870779491454773,0.5087108013937283
combo_size2_o1n1_Oover_Nhybrid,2,1,1,"old_over,new_hybrid",bankruptcy,chronological,0.829374608758295,0.18392134181607867,0.7033844608144136,0.554006968641115,0.11026352288488211,0.10696123384743643,0.445993031358885
combo_size2_o1n1_Ohybrid_Nunder,2,1,1,"old_hybrid,new_under",bankruptcy,chronological,0.8627575659428363,0.2362934362934363,0.7036346799188024,0.5331010452961672,0.15178571428571427,0.0712796998749479,0.46689895470383275
combo_size2_o1n1_Ohybrid_Nover,2,1,1,"old_hybrid,new_over",bankruptcy,chronological,0.8179592832669826,0.1729106628242075,0.682708881808903,0.5226480836236934,0.10359116022099447,0.10821175489787412,0.47735191637630664
combo_size2_o1n1_Ohybrid_Nhybrid,2,1,1,"old_hybrid,new_hybrid",bankruptcy,chronological,0.8372666892273639,0.184140500266099,0.7290254642334935,0.6027874564459931,0.10866834170854271,0.11829929137140476,0.397212543554007
combo_size3_o2n1_Ounder_Oover_Nunder,3,2,1,"old_under,old_over,new_under",bankruptcy,chronological,0.8666587268504735,0.225531914893617,0.7137809121755002,0.554006968641115,0.14158504007123776,0.08036681950812839,0.445993031358885
combo_size3_o2n1_Ounder_Oover_Nover,3,2,1,"old_under,old_over,new_over",bankruptcy,chronological,0.834592520402665,0.17690982194141297,0.6916871067103985,0.5365853658536586,0.10591471801925723,0.10837849103793247,0.4634146341463415
combo_size3_o2n1_Ounder_Oover_Nhybrid,3,2,1,"old_under,old_over,new_hybrid",bankruptcy,chronological,0.8489640718475904,0.18514531754574812,0.7276024013925878,0.5993031358885017,0.109484404837683,0.11663192997082117,0.40069686411149824
combo_size3_o2n1_Ounder_Ohybrid_Nunder,3,2,1,"old_under,old_hybrid,new_under",bankruptcy,chronological,0.8670979342437979,0.20790816326530612,0.7176410813870916,0.5679442508710801,0.12724434035909446,0.09320550229262192,0.43205574912891986
combo_size3_o2n1_Ounder_Ohybrid_Nover,3,2,1,"old_under,old_hybrid,new_over",bankruptcy,chronological,0.8388628827632885,0.1714898177920686,0.7010994685069161,0.5574912891986062,0.1013299556681444,0.11829929137140476,0.4425087108013937
combo_size3_o2n1_Ounder_Ohybrid_Nhybrid,3,2,1,"old_under,old_hybrid,new_hybrid",bankruptcy,chronological,0.851448556526892,0.1801711122294917,0.7379751292324119,0.6236933797909407,0.10529411764705883,0.12680283451438099,0.37630662020905925
combo_size3_o1n2_Ounder_Nunder_Nover,3,1,2,"old_under,new_under,new_over",bankruptcy,chronological,0.8767262201294674,0.24322103533278555,0.6943056417788449,0.5156794425087108,0.15913978494623657,0.06519383076281784,0.4843205574912892
combo_size3_o1n2_Ounder_Nunder_Nhybrid,3,1,2,"old_under,new_under,new_hybrid",bankruptcy,chronological,0.8817367282825452,0.24188790560471976,0.7268530590836061,0.5714285714285714,0.15341440598690365,0.07544810337640684,0.42857142857142855
combo_size3_o1n2_Ounder_Nover_Nhybrid,3,1,2,"old_under,new_over,new_hybrid",bankruptcy,chronological,0.8620435634476038,0.19987959060806743,0.7212126056059881,0.578397212543554,0.12081513828238719,0.10070862859524803,0.42160278745644597
combo_size3_o2n1_Oover_Ohybrid_Nunder,3,2,1,"old_over,old_hybrid,new_under",bankruptcy,chronological,0.8410583387677503,0.1927409261576971,0.6962959341677002,0.5365853658536586,0.11746758199847444,0.0964568570237599,0.4634146341463415
combo_size3_o2n1_Oover_Ohybrid_Nover,3,2,1,"old_over,old_hybrid,new_over",bankruptcy,chronological,0.8043566352414552,0.1573389651531151,0.6753214584421835,0.519163763066202,0.09271935283136279,0.12155064610254272,0.4808362369337979
combo_size3_o2n1_Oover_Ohybrid_Nhybrid,3,2,1,"old_over,old_hybrid,new_hybrid",bankruptcy,chronological,0.8209480431015826,0.1649069884364002,0.7058044683885284,0.5714285714285714,0.0963572267920094,0.12822009170487703,0.42857142857142855
combo_size3_o1n2_Oover_Nunder_Nover,3,1,2,"old_over,new_under,new_over",bankruptcy,chronological,0.8531928954137394,0.22556390977443608,0.663318695832633,0.47038327526132406,0.14835164835164835,0.06461025427261359,0.5296167247386759
combo_size3_o1n2_Oover_Nunder_Nhybrid,3,1,2,"old_over,new_under,new_hybrid",bankruptcy,chronological,0.8622230807551926,0.23404255319148937,0.7052964201604729,0.5365853658536586,0.14965986394557823,0.07294706127553147,0.4634146341463415
combo_size3_o1n2_Oover_Nover_Nhybrid,3,1,2,"old_over,new_over,new_hybrid",bankruptcy,chronological,0.832478980062831,0.19403931515535827,0.6946716246517886,0.5331010452961672,0.1186046511627907,0.09478949562317632,0.46689895470383275
combo_size3_o1n2_Ohybrid_Nunder_Nover,3,1,2,"old_hybrid,new_under,new_over",bankruptcy,chronological,0.8574400192879437,0.2210283960092095,0.682104854106052,0.5017421602787456,0.14173228346456693,0.07269695706544393,0.49825783972125437
combo_size3_o1n2_Ohybrid_Nunder_Nhybrid,3,1,2,"old_hybrid,new_under,new_hybrid",bankruptcy,chronological,0.8654546827728743,0.22206506364922207,0.7090845956698144,0.5470383275261324,0.13930789707187222,0.08086702792830346,0.4529616724738676
combo_size3_o1n2_Ohybrid_Nover_Nhybrid,3,1,2,"old_hybrid,new_over,new_hybrid",bankruptcy,chronological,0.8384007273646248,0.19327731092436976,0.7099386247296241,0.5609756097560976,0.116751269035533,0.10154230929553981,0.43902439024390244
combo_size4_o3n1_Ounder_Oover_Ohybrid_Nunder,4,3,1,"old_under,old_over,old_hybrid,new_under",bankruptcy,chronological,0.8508007837179546,0.18652849740932642,0.7098234358168334,0.5644599303135889,0.11172413793103449,0.10737807419758233,0.4355400696864111
combo_size4_o3n1_Ounder_Oover_Ohybrid_Nover,4,3,1,"old_under,old_over,old_hybrid,new_over",bankruptcy,chronological,0.8250487645113455,0.16106014271151886,0.6934683842000077,0.5505226480836237,0.09432835820895523,0.12646936223426428,0.44947735191637633
combo_size4_o3n1_Ounder_Oover_Ohybrid_Nhybrid,4,3,1,"old_under,old_over,old_hybrid,new_hybrid",bankruptcy,chronological,0.8368626300447486,0.16902784562774792,0.723211992008384,0.6027874564459931,0.09829545454545455,0.1323051271363068,0.397212543554007
combo_size4_o2n2_Ounder_Oover_Nunder_Nover,4,2,2,"old_under,old_over,new_under,new_over",bankruptcy,chronological,0.8638152075559938,0.2198952879581152,0.6882124474891045,0.5121951219512195,0.14,0.07528136723634848,0.4878048780487805
combo_size4_o2n2_Ounder_Oover_Nunder_Nhybrid,4,2,2,"old_under,old_over,new_under,new_hybrid",bankruptcy,chronological,0.8703731084235157,0.22425952045133993,0.7135220379581997,0.554006968641115,0.14058355437665782,0.08103376406836182,0.445993031358885
combo_size4_o2n2_Ounder_Oover_Nover_Nhybrid,4,2,2,"old_under,old_over,new_over,new_hybrid",bankruptcy,chronological,0.8491502702200249,0.1950632149307646,0.7123382013445172,0.5644599303135889,0.11790393013100436,0.10104210087536473,0.4355400696864111
combo_size4_o2n2_Ounder_Ohybrid_Nunder_Nover,4,2,2,"old_under,old_hybrid,new_under,new_over",bankruptcy,chronological,0.8648873732231636,0.21104122990915444,0.6946774788105645,0.5261324041811847,0.131993006993007,0.08278449353897457,0.4738675958188153
