dataset,split,ensemble,sampling_col,subset,subset_indices,AUC,F1,Recall
1+15,split_1+15,DCS_OLA,pool6_xgb,,,0.7517,0.1371,0.2195
1+15,split_1+15,DCS_LCA,pool6_xgb,,,0.7241,0.1207,0.1847
1+15,split_1+15,DCS_OLA_TW,pool6_xgb,,,0.7517,0.1371,0.2195
1+15,split_1+15,DCS_LCA_TW,pool6_xgb,,,0.7284,0.1203,0.1847
2+14,split_2+14,DCS_OLA,pool6_xgb,,,0.7708,0.1263,0.2334
2+14,split_2+14,DCS_LCA,pool6_xgb,,,0.7608,0.1263,0.2265
2+14,split_2+14,DCS_OLA_TW,pool6_xgb,,,0.7707,0.1263,0.2334
2+14,split_2+14,DCS_LCA_TW,pool6_xgb,,,0.7606,0.1262,0.2265
3+13,split_3+13,DCS_OLA,pool6_xgb,,,0.7931,0.1324,0.2648
3+13,split_3+13,DCS_LCA,pool6_xgb,,,0.7805,0.1348,0.2613
3+13,split_3+13,DCS_OLA_TW,pool6_xgb,,,0.7931,0.1324,0.2648
3+13,split_3+13,DCS_LCA_TW,pool6_xgb,,,0.7807,0.1338,0.2613
4+12,split_4+12,DCS_OLA,pool6_xgb,,,0.7825,0.1309,0.2822
4+12,split_4+12,DCS_LCA,pool6_xgb,,,0.7717,0.1289,0.2648
4+12,split_4+12,DCS_OLA_TW,pool6_xgb,,,0.7825,0.1309,0.2822
4+12,split_4+12,DCS_LCA_TW,pool6_xgb,,,0.7741,0.1302,0.2683
5+11,split_5+11,DCS_OLA,pool6_xgb,,,0.8075,0.1565,0.3449
5+11,split_5+11,DCS_LCA,pool6_xgb,,,0.7984,0.1563,0.3275
5+11,split_5+11,DCS_OLA_TW,pool6_xgb,,,0.8075,0.1565,0.3449
5+11,split_5+11,DCS_LCA_TW,pool6_xgb,,,0.7972,0.1556,0.3275
6+10,split_6+10,DCS_OLA,pool6_xgb,,,0.8013,0.1560,0.3484
6+10,split_6+10,DCS_LCA,pool6_xgb,,,0.7920,0.1567,0.3380
6+10,split_6+10,DCS_OLA_TW,pool6_xgb,,,0.8013,0.1560,0.3484
6+10,split_6+10,DCS_LCA_TW,pool6_xgb,,,0.7900,0.1558,0.3380
7+9,split_7+9,DCS_OLA,pool6_xgb,,,0.8137,0.1699,0.3693
7+9,split_7+9,DCS_LCA,pool6_xgb,,,0.8039,0.1682,0.3519
7+9,split_7+9,DCS_OLA_TW,pool6_xgb,,,0.8137,0.1699,0.3693
7+9,split_7+9,DCS_LCA_TW,pool6_xgb,,,0.8072,0.1687,0.3554
8+8,split_8+8,DCS_OLA,pool6_xgb,,,0.8071,0.1767,0.3798
8+8,split_8+8,DCS_LCA,pool6_xgb,,,0.7901,0.1796,0.3659
8+8,split_8+8,DCS_OLA_TW,pool6_xgb,,,0.8071,0.1767,0.3798
8+8,split_8+8,DCS_LCA_TW,pool6_xgb,,,0.7930,0.1807,0.3693
9+7,split_9+7,DCS_OLA,pool6_xgb,,,0.8238,0.1957,0.3972
9+7,split_9+7,DCS_LCA,pool6_xgb,,,0.8186,0.2011,0.3833
9+7,split_9+7,DCS_OLA_TW,pool6_xgb,,,0.8238,0.1957,0.3972
9+7,split_9+7,DCS_LCA_TW,pool6_xgb,,,0.8159,0.1984,0.3833
10+6,split_10+6,DCS_OLA,pool6_xgb,,,0.8358,0.2142,0.4321
10+6,split_10+6,DCS_LCA,pool6_xgb,,,0.8331,0.2168,0.4146
10+6,split_10+6,DCS_OLA_TW,pool6_xgb,,,0.8358,0.2142,0.4321
10+6,split_10+6,DCS_LCA_TW,pool6_xgb,,,0.8301,0.2133,0.4146
11+5,split_11+5,DCS_OLA,pool6_xgb,,,0.8499,0.2385,0.4530
11+5,split_11+5,DCS_LCA,pool6_xgb,,,0.8511,0.2469,0.4530
11+5,split_11+5,DCS_OLA_TW,pool6_xgb,,,0.8499,0.2385,0.4530
11+5,split_11+5,DCS_LCA_TW,pool6_xgb,,,0.8508,0.2458,0.4564
12+4,split_12+4,DCS_OLA,pool6_xgb,,,0.8465,0.2458,0.4634
12+4,split_12+4,DCS_LCA,pool6_xgb,,,0.8434,0.2428,0.4390
12+4,split_12+4,DCS_OLA_TW,pool6_xgb,,,0.8465,0.2458,0.4634
12+4,split_12+4,DCS_LCA_TW,pool6_xgb,,,0.8430,0.2431,0.4460
13+3,split_13+3,DCS_OLA,pool6_xgb,,,0.8517,0.2430,0.4390
13+3,split_13+3,DCS_LCA,pool6_xgb,,,0.8418,0.2382,0.4146
13+3,split_13+3,DCS_OLA_TW,pool6_xgb,,,0.8517,0.2430,0.4390
13+3,split_13+3,DCS_LCA_TW,pool6_xgb,,,0.8407,0.2356,0.4146
14+2,split_14+2,DCS_OLA,pool6_xgb,,,0.8610,0.2534,0.4251
14+2,split_14+2,DCS_LCA,pool6_xgb,,,0.8484,0.2476,0.4007
14+2,split_14+2,DCS_OLA_TW,pool6_xgb,,,0.8610,0.2534,0.4251
14+2,split_14+2,DCS_LCA_TW,pool6_xgb,,,0.8478,0.2452,0.4007
15+1,split_15+1,DCS_OLA,pool6_xgb,,,0.8429,0.2455,0.3763
15+1,split_15+1,DCS_LCA,pool6_xgb,,,0.8330,0.2461,0.3589
15+1,split_15+1,DCS_OLA_TW,pool6_xgb,,,0.8429,0.2455,0.3763
15+1,split_15+1,DCS_LCA_TW,pool6_xgb,,,0.8329,0.2429,0.3589
