dataset,Dynamic_KNORA_E_under,Dynamic_KNORA_E_over,Dynamic_KNORA_E_hybrid,Dynamic_KNORA_E_all6,Dynamic_KNORA_U_under,Dynamic_KNORA_U_over,Dynamic_KNORA_U_hybrid,Dynamic_KNORA_U_all6,Dynamic_DES_KNN_under,Dynamic_DES_KNN_over,Dynamic_DES_KNN_hybrid,Dynamic_DES_KNN_all6
O1 + N15,0.7871,0.7804,0.7995,0.7972,0.7836,0.7599,0.7660,0.7881,0.7853,0.7618,0.7724,0.7939
O2 + N14,0.7827,0.7785,0.7976,0.7971,0.7860,0.7780,0.7906,0.8045,0.7866,0.7798,0.7936,0.8070
O3 + N13,0.8100,0.7879,0.8022,0.8080,0.8238,0.7853,0.8041,0.8173,0.8235,0.7861,0.8059,0.8183
O4 + N12,0.8191,0.7771,0.7835,0.8024,0.8436,0.7903,0.8133,0.8318,0.8437,0.7900,0.8114,0.8329
O5 + N11,0.8271,0.7735,0.8047,0.8092,0.8544,0.7813,0.8200,0.8345,0.8544,0.7811,0.8185,0.8349
O6 + N10,0.8140,0.7641,0.8017,0.8056,0.8445,0.7920,0.8206,0.8334,0.8438,0.7917,0.8194,0.8332
O7 + N9,0.8168,0.7856,0.8101,0.8124,0.8462,0.7973,0.8229,0.8356,0.8462,0.7972,0.8214,0.8361
O8 + N8,0.8072,0.7887,0.8172,0.8030,0.8347,0.8100,0.8268,0.8387,0.8347,0.8096,0.8257,0.8392
O9 + N7,0.8248,0.7959,0.8330,0.8178,0.8497,0.8138,0.8364,0.8481,0.8496,0.8127,0.8354,0.8481
O10 + N6,0.8556,0.8175,0.8383,0.8418,0.8582,0.8139,0.8359,0.8496,0.8581,0.8141,0.8367,0.8508
O11 + N5,0.8397,0.7984,0.8439,0.8384,0.8494,0.8134,0.8398,0.8517,0.8491,0.8123,0.8397,0.8523
O12 + N4,0.8468,0.8054,0.8437,0.8374,0.8486,0.8132,0.8479,0.8516,0.8488,0.8119,0.8476,0.8521
O13 + N3,0.8465,0.8250,0.8335,0.8437,0.8610,0.8261,0.8379,0.8548,0.8595,0.8253,0.8370,0.8548
O14 + N2,0.8436,0.8314,0.8410,0.8529,0.8663,0.8297,0.8484,0.8639,0.8655,0.8291,0.8476,0.8639
O15 + N1,0.8497,0.8172,0.8297,0.8387,0.8691,0.8322,0.8333,0.8640,0.8691,0.8315,0.8316,0.8638
avg,0.8247,0.7951,0.8186,0.8204,0.8413,0.8024,0.8229,0.8378,0.8412,0.8023,0.8229,0.8388
