dataset,ensemble,type,subset,subset_indices,AUC
O1 + N15,Dynamic_KNORA_E,under,,,0.7871
O1 + N15,Dynamic_KNORA_E,over,,,0.7804
O1 + N15,Dynamic_KNORA_E,hybrid,,,0.7995
O1 + N15,Dynamic_KNORA_E,all6,,,0.7972
O1 + N15,Dynamic_KNORA_U,under,,,0.7836
O1 + N15,Dynamic_KNORA_U,over,,,0.7599
O1 + N15,Dynamic_KNORA_U,hybrid,,,0.7660
O1 + N15,Dynamic_KNORA_U,all6,,,0.7881
O1 + N15,Dynamic_DES_KNN,under,,,0.7853
O1 + N15,Dynamic_DES_KNN,over,,,0.7618
O1 + N15,Dynamic_DES_KNN,hybrid,,,0.7724
O1 + N15,Dynamic_DES_KNN,all6,,,0.7939
O2 + N14,Dynamic_KNORA_E,under,,,0.7827
O2 + N14,Dynamic_KNORA_E,over,,,0.7785
O2 + N14,Dynamic_KNORA_E,hybrid,,,0.7976
O2 + N14,Dynamic_KNORA_E,all6,,,0.7971
O2 + N14,Dynamic_KNORA_U,under,,,0.7860
O2 + N14,Dynamic_KNORA_U,over,,,0.7780
O2 + N14,Dynamic_KNORA_U,hybrid,,,0.7906
O2 + N14,Dynamic_KNORA_U,all6,,,0.8045
O2 + N14,Dynamic_DES_KNN,under,,,0.7866
O2 + N14,Dynamic_DES_KNN,over,,,0.7798
O2 + N14,Dynamic_DES_KNN,hybrid,,,0.7936
O2 + N14,Dynamic_DES_KNN,all6,,,0.8070
O3 + N13,Dynamic_KNORA_E,under,,,0.8100
O3 + N13,Dynamic_KNORA_E,over,,,0.7879
O3 + N13,Dynamic_KNORA_E,hybrid,,,0.8022
O3 + N13,Dynamic_KNORA_E,all6,,,0.8080
O3 + N13,Dynamic_KNORA_U,under,,,0.8238
O3 + N13,Dynamic_KNORA_U,over,,,0.7853
O3 + N13,Dynamic_KNORA_U,hybrid,,,0.8041
O3 + N13,Dynamic_KNORA_U,all6,,,0.8173
O3 + N13,Dynamic_DES_KNN,under,,,0.8235
O3 + N13,Dynamic_DES_KNN,over,,,0.7861
O3 + N13,Dynamic_DES_KNN,hybrid,,,0.8059
O3 + N13,Dynamic_DES_KNN,all6,,,0.8183
O4 + N12,Dynamic_KNORA_E,under,,,0.8191
O4 + N12,Dynamic_KNORA_E,over,,,0.7771
O4 + N12,Dynamic_KNORA_E,hybrid,,,0.7835
O4 + N12,Dynamic_KNORA_E,all6,,,0.8024
O4 + N12,Dynamic_KNORA_U,under,,,0.8436
O4 + N12,Dynamic_KNORA_U,over,,,0.7903
O4 + N12,Dynamic_KNORA_U,hybrid,,,0.8133
O4 + N12,Dynamic_KNORA_U,all6,,,0.8318
O4 + N12,Dynamic_DES_KNN,under,,,0.8437
O4 + N12,Dynamic_DES_KNN,over,,,0.7900
O4 + N12,Dynamic_DES_KNN,hybrid,,,0.8114
O4 + N12,Dynamic_DES_KNN,all6,,,0.8329
O5 + N11,Dynamic_KNORA_E,under,,,0.8271
O5 + N11,Dynamic_KNORA_E,over,,,0.7735
O5 + N11,Dynamic_KNORA_E,hybrid,,,0.8047
O5 + N11,Dynamic_KNORA_E,all6,,,0.8092
O5 + N11,Dynamic_KNORA_U,under,,,0.8544
O5 + N11,Dynamic_KNORA_U,over,,,0.7813
O5 + N11,Dynamic_KNORA_U,hybrid,,,0.8200
O5 + N11,Dynamic_KNORA_U,all6,,,0.8345
O5 + N11,Dynamic_DES_KNN,under,,,0.8544
O5 + N11,Dynamic_DES_KNN,over,,,0.7811
O5 + N11,Dynamic_DES_KNN,hybrid,,,0.8185
O5 + N11,Dynamic_DES_KNN,all6,,,0.8349
O6 + N10,Dynamic_KNORA_E,under,,,0.8140
O6 + N10,Dynamic_KNORA_E,over,,,0.7641
O6 + N10,Dynamic_KNORA_E,hybrid,,,0.8017
O6 + N10,Dynamic_KNORA_E,all6,,,0.8056
O6 + N10,Dynamic_KNORA_U,under,,,0.8445
O6 + N10,Dynamic_KNORA_U,over,,,0.7920
O6 + N10,Dynamic_KNORA_U,hybrid,,,0.8206
O6 + N10,Dynamic_KNORA_U,all6,,,0.8334
O6 + N10,Dynamic_DES_KNN,under,,,0.8438
O6 + N10,Dynamic_DES_KNN,over,,,0.7917
O6 + N10,Dynamic_DES_KNN,hybrid,,,0.8194
O6 + N10,Dynamic_DES_KNN,all6,,,0.8332
O7 + N9,Dynamic_KNORA_E,under,,,0.8168
O7 + N9,Dynamic_KNORA_E,over,,,0.7856
O7 + N9,Dynamic_KNORA_E,hybrid,,,0.8101
O7 + N9,Dynamic_KNORA_E,all6,,,0.8124
O7 + N9,Dynamic_KNORA_U,under,,,0.8462
O7 + N9,Dynamic_KNORA_U,over,,,0.7973
