dataset,Dynamic_KNORA_E_under,Dynamic_KNORA_E_over,Dynamic_KNORA_E_hybrid,Dynamic_KNORA_E_all6,Dynamic_KNORA_U_under,Dynamic_KNORA_U_over,Dynamic_KNORA_U_hybrid,Dynamic_KNORA_U_all6,Dynamic_DES_KNN_under,Dynamic_DES_KNN_over,Dynamic_DES_KNN_hybrid,Dynamic_DES_KNN_all6
O1 + N15,0.2375,0.1604,0.1965,0.2132,0.2356,0.1451,0.2046,0.2093,0.2350,0.1481,0.1950,0.2256
O2 + N14,0.1905,0.1482,0.1480,0.1843,0.1706,0.1385,0.1620,0.1774,0.1917,0.1478,0.1602,0.1897
O3 + N13,0.1934,0.1523,0.1648,0.1944,0.2066,0.1505,0.1610,0.1939,0.2066,0.1618,0.1642,0.1938
O4 + N12,0.1915,0.1425,0.1637,0.1736,0.2179,0.1382,0.1701,0.1819,0.2135,0.1419,0.1587,0.1878
O5 + N11,0.2168,0.1480,0.1505,0.1753,0.2306,0.1436,0.1643,0.2003,0.2357,0.1429,0.1431,0.1980
O6 + N10,0.2256,0.1425,0.1571,0.1683,0.2356,0.1584,0.1582,0.1959,0.2176,0.1589,0.1601,0.1953
O7 + N9,0.1918,0.1604,0.1723,0.1650,0.2032,0.1651,0.1789,0.2037,0.2104,0.1605,0.1786,0.2068
O8 + N8,0.2064,0.1609,0.1798,0.1968,0.2148,0.1629,0.1856,0.1919,0.2197,0.1686,0.1789,0.1930
O9 + N7,0.2167,0.1706,0.1830,0.1489,0.2400,0.1762,0.1842,0.2152,0.2380,0.1634,0.1952,0.2051
O10 + N6,0.2285,0.1719,0.1938,0.1811,0.2316,0.1700,0.1879,0.1891,0.2308,0.1709,0.1921,0.2254
O11 + N5,0.2135,0.1598,0.1757,0.1759,0.2161,0.1661,0.1705,0.2168,0.2140,0.1651,0.1775,0.2172
O12 + N4,0.2231,0.1775,0.1837,0.1833,0.2193,0.1826,0.2020,0.2135,0.2174,0.1841,0.1965,0.2211
O13 + N3,0.2332,0.2017,0.1875,0.1873,0.2365,0.1963,0.1797,0.2440,0.2296,0.1923,0.1725,0.2043
O14 + N2,0.2308,0.1923,0.1821,0.2210,0.2359,0.1876,0.1952,0.2161,0.2355,0.1975,0.1830,0.2024
O15 + N1,0.2129,0.1739,0.1914,0.1930,0.2332,0.1777,0.1863,0.1965,0.2558,0.1772,0.1888,0.2214
avg,0.2141,0.1642,0.1753,0.1841,0.2218,0.1639,0.1794,0.2030,0.2234,0.1654,0.1763,0.2058
