dataset,Dynamic_KNORA_E_under,Dynamic_KNORA_E_over,Dynamic_KNORA_E_hybrid,Dynamic_KNORA_E_all6,Dynamic_KNORA_U_under,Dynamic_KNORA_U_over,Dynamic_KNORA_U_hybrid,Dynamic_KNORA_U_all6,Dynamic_DES_KNN_under,Dynamic_DES_KNN_over,Dynamic_DES_KNN_hybrid,Dynamic_DES_KNN_all6
O1 + N15,0.3902,0.4216,0.4704,0.4216,0.3624,0.4425,0.4913,0.4251,0.3693,0.4321,0.4739,0.4111
O2 + N14,0.4286,0.4181,0.5401,0.3693,0.4425,0.4321,0.4251,0.3902,0.4286,0.3937,0.4913,0.3972
O3 + N13,0.4181,0.4321,0.4948,0.4390,0.4251,0.4460,0.5157,0.4530,0.4251,0.3972,0.4774,0.4669
O4 + N12,0.4251,0.5261,0.4634,0.4216,0.4495,0.5714,0.4564,0.5157,0.4564,0.5505,0.4913,0.4739
O5 + N11,0.4634,0.4181,0.6237,0.4948,0.5087,0.4321,0.5749,0.5017,0.5157,0.4599,0.6899,0.4774
O6 + N10,0.4460,0.4181,0.5610,0.4983,0.4843,0.4669,0.6167,0.4983,0.5087,0.4739,0.5819,0.5122
O7 + N9,0.4390,0.4390,0.4181,0.5087,0.5122,0.4704,0.4390,0.5192,0.5052,0.4983,0.4425,0.4878
O8 + N8,0.4251,0.4460,0.4878,0.4077,0.4564,0.4808,0.5122,0.5366,0.4634,0.4704,0.5017,0.5296
O9 + N7,0.4564,0.4042,0.5296,0.5261,0.5122,0.4355,0.5540,0.5087,0.5017,0.4634,0.4913,0.4948
O10 + N6,0.4808,0.4634,0.5645,0.5540,0.4774,0.5261,0.5679,0.5854,0.4878,0.5401,0.5540,0.4739
O11 + N5,0.4739,0.4530,0.5854,0.5401,0.4948,0.4808,0.5958,0.5122,0.5017,0.4634,0.5575,0.4983
O12 + N4,0.5192,0.4251,0.6063,0.5575,0.5261,0.4564,0.5401,0.4843,0.5192,0.4530,0.5610,0.4704
O13 + N3,0.4669,0.4460,0.5366,0.5854,0.4948,0.4564,0.5331,0.4983,0.5157,0.4634,0.5575,0.5679
O14 + N2,0.5017,0.4669,0.5854,0.4983,0.5331,0.4843,0.5679,0.5505,0.5157,0.4111,0.6272,0.6098
O15 + N1,0.5366,0.4843,0.5819,0.5296,0.5192,0.5679,0.5923,0.5923,0.5017,0.5401,0.5645,0.5052
avg,0.4581,0.4441,0.5366,0.4901,0.4799,0.4767,0.5322,0.5048,0.4811,0.4674,0.5375,0.4918
