dataset,split,ensemble,type,subset,subset_indices,AUC,F1,Recall
O1 + N15,split_1+15,Dynamic_KNORA_E,under,,,0.7871,0.2375,0.3902
O1 + N15,split_1+15,Dynamic_KNORA_U,under,,,0.7836,0.2356,0.3624
O1 + N15,split_1+15,Dynamic_DES_KNN,under,,,0.7853,0.2350,0.3693
O1 + N15,split_1+15,Dynamic_KNORA_E,over,,,0.7804,0.1604,0.4216
O1 + N15,split_1+15,Dynamic_KNORA_U,over,,,0.7599,0.1451,0.4425
O1 + N15,split_1+15,Dynamic_DES_KNN,over,,,0.7618,0.1481,0.4321
O1 + N15,split_1+15,Dynamic_KNORA_E,hybrid,,,0.7995,0.1965,0.4704
O1 + N15,split_1+15,Dynamic_KNORA_U,hybrid,,,0.7660,0.2046,0.4913
O1 + N15,split_1+15,Dynamic_DES_KNN,hybrid,,,0.7724,0.1950,0.4739
O1 + N15,split_1+15,Dynamic_KNORA_E,all6,,,0.7972,0.2132,0.4216
O1 + N15,split_1+15,Dynamic_KNORA_U,all6,,,0.7881,0.2093,0.4251
O1 + N15,split_1+15,Dynamic_DES_KNN,all6,,,0.7939,0.2256,0.4111
O2 + N14,split_2+14,Dynamic_KNORA_E,under,,,0.7827,0.1905,0.4286
O2 + N14,split_2+14,Dynamic_KNORA_U,under,,,0.7860,0.1706,0.4425
O2 + N14,split_2+14,Dynamic_DES_KNN,under,,,0.7866,0.1917,0.4286
O2 + N14,split_2+14,Dynamic_KNORA_E,over,,,0.7785,0.1482,0.4181
O2 + N14,split_2+14,Dynamic_KNORA_U,over,,,0.7780,0.1385,0.4321
O2 + N14,split_2+14,Dynamic_DES_KNN,over,,,0.7798,0.1478,0.3937
O2 + N14,split_2+14,Dynamic_KNORA_E,hybrid,,,0.7976,0.1480,0.5401
O2 + N14,split_2+14,Dynamic_KNORA_U,hybrid,,,0.7906,0.1620,0.4251
O2 + N14,split_2+14,Dynamic_DES_KNN,hybrid,,,0.7936,0.1602,0.4913
O2 + N14,split_2+14,Dynamic_KNORA_E,all6,,,0.7971,0.1843,0.3693
O2 + N14,split_2+14,Dynamic_KNORA_U,all6,,,0.8045,0.1774,0.3902
O2 + N14,split_2+14,Dynamic_DES_KNN,all6,,,0.8070,0.1897,0.3972
O3 + N13,split_3+13,Dynamic_KNORA_E,under,,,0.8100,0.1934,0.4181
O3 + N13,split_3+13,Dynamic_KNORA_U,under,,,0.8238,0.2066,0.4251
O3 + N13,split_3+13,Dynamic_DES_KNN,under,,,0.8235,0.2066,0.4251
O3 + N13,split_3+13,Dynamic_KNORA_E,over,,,0.7879,0.1523,0.4321
O3 + N13,split_3+13,Dynamic_KNORA_U,over,,,0.7853,0.1505,0.4460
O3 + N13,split_3+13,Dynamic_DES_KNN,over,,,0.7861,0.1618,0.3972
O3 + N13,split_3+13,Dynamic_KNORA_E,hybrid,,,0.8022,0.1648,0.4948
O3 + N13,split_3+13,Dynamic_KNORA_U,hybrid,,,0.8041,0.1610,0.5157
O3 + N13,split_3+13,Dynamic_DES_KNN,hybrid,,,0.8059,0.1642,0.4774
O3 + N13,split_3+13,Dynamic_KNORA_E,all6,,,0.8080,0.1944,0.4390
O3 + N13,split_3+13,Dynamic_KNORA_U,all6,,,0.8173,0.1939,0.4530
O3 + N13,split_3+13,Dynamic_DES_KNN,all6,,,0.8183,0.1938,0.4669
O4 + N12,split_4+12,Dynamic_KNORA_E,under,,,0.8191,0.1915,0.4251
O4 + N12,split_4+12,Dynamic_KNORA_U,under,,,0.8436,0.2179,0.4495
O4 + N12,split_4+12,Dynamic_DES_KNN,under,,,0.8437,0.2135,0.4564
O4 + N12,split_4+12,Dynamic_KNORA_E,over,,,0.7771,0.1425,0.5261
O4 + N12,split_4+12,Dynamic_KNORA_U,over,,,0.7903,0.1382,0.5714
O4 + N12,split_4+12,Dynamic_DES_KNN,over,,,0.7900,0.1419,0.5505
O4 + N12,split_4+12,Dynamic_KNORA_E,hybrid,,,0.7835,0.1637,0.4634
O4 + N12,split_4+12,Dynamic_KNORA_U,hybrid,,,0.8133,0.1701,0.4564
O4 + N12,split_4+12,Dynamic_DES_KNN,hybrid,,,0.8114,0.1587,0.4913
O4 + N12,split_4+12,Dynamic_KNORA_E,all6,,,0.8024,0.1736,0.4216
O4 + N12,split_4+12,Dynamic_KNORA_U,all6,,,0.8318,0.1819,0.5157
O4 + N12,split_4+12,Dynamic_DES_KNN,all6,,,0.8329,0.1878,0.4739
O5 + N11,split_5+11,Dynamic_KNORA_E,under,,,0.8271,0.2168,0.4634
O5 + N11,split_5+11,Dynamic_KNORA_U,under,,,0.8544,0.2306,0.5087
O5 + N11,split_5+11,Dynamic_DES_KNN,under,,,0.8544,0.2357,0.5157
O5 + N11,split_5+11,Dynamic_KNORA_E,over,,,0.7735,0.1480,0.4181
O5 + N11,split_5+11,Dynamic_KNORA_U,over,,,0.7813,0.1436,0.4321
O5 + N11,split_5+11,Dynamic_DES_KNN,over,,,0.7811,0.1429,0.4599
O5 + N11,split_5+11,Dynamic_KNORA_E,hybrid,,,0.8047,0.1505,0.6237
O5 + N11,split_5+11,Dynamic_KNORA_U,hybrid,,,0.8200,0.1643,0.5749
O5 + N11,split_5+11,Dynamic_DES_KNN,hybrid,,,0.8185,0.1431,0.6899
O5 + N11,split_5+11,Dynamic_KNORA_E,all6,,,0.8092,0.1753,0.4948
O5 + N11,split_5+11,Dynamic_KNORA_U,all6,,,0.8345,0.2003,0.5017
O5 + N11,split_5+11,Dynamic_DES_KNN,all6,,,0.8349,0.1980,0.4774
O6 + N10,split_6+10,Dynamic_KNORA_E,under,,,0.8140,0.2256,0.4460
O6 + N10,split_6+10,Dynamic_KNORA_U,under,,,0.8445,0.2356,0.4843
O6 + N10,split_6+10,Dynamic_DES_KNN,under,,,0.8438,0.2176,0.5087
O6 + N10,split_6+10,Dynamic_KNORA_E,over,,,0.7641,0.1425,0.4181
O6 + N10,split_6+10,Dynamic_KNORA_U,over,,,0.7920,0.1584,0.4669
O6 + N10,split_6+10,Dynamic_DES_KNN,over,,,0.7917,0.1589,0.4739
O6 + N10,split_6+10,Dynamic_KNORA_E,hybrid,,,0.8017,0.1571,0.5610
O6 + N10,split_6+10,Dynamic_KNORA_U,hybrid,,,0.8206,0.1582,0.6167
O6 + N10,split_6+10,Dynamic_DES_KNN,hybrid,,,0.8194,0.1601,0.5819
O6 + N10,split_6+10,Dynamic_KNORA_E,all6,,,0.8056,0.1683,0.4983
O6 + N10,split_6+10,Dynamic_KNORA_U,all6,,,0.8334,0.1959,0.4983
O6 + N10,split_6+10,Dynamic_DES_KNN,all6,,,0.8332,0.1953,0.5122
O7 + N9,split_7+9,Dynamic_KNORA_E,under,,,0.8168,0.1918,0.4390
O7 + N9,split_7+9,Dynamic_KNORA_U,under,,,0.8462,0.2032,0.5122
O7 + N9,split_7+9,Dynamic_DES_KNN,under,,,0.8462,0.2104,0.5052
O7 + N9,split_7+9,Dynamic_KNORA_E,over,,,0.7856,0.1604,0.4390
O7 + N9,split_7+9,Dynamic_KNORA_U,over,,,0.7973,0.1651,0.4704
O7 + N9,split_7+9,Dynamic_DES_KNN,over,,,0.7972,0.1605,0.4983
O7 + N9,split_7+9,Dynamic_KNORA_E,hybrid,,,0.8101,0.1723,0.4181
O7 + N9,split_7+9,Dynamic_KNORA_U,hybrid,,,0.8229,0.1789,0.4390
O7 + N9,split_7+9,Dynamic_DES_KNN,hybrid,,,0.8214,0.1786,0.4425
O7 + N9,split_7+9,Dynamic_KNORA_E,all6,,,0.8124,0.1650,0.5087
O7 + N9,split_7+9,Dynamic_KNORA_U,all6,,,0.8356,0.2037,0.5192
O7 + N9,split_7+9,Dynamic_DES_KNN,all6,,,0.8361,0.2068,0.4878
