dataset,ensemble,type,subset,subset_indices,F1
O2 + N14,2models,k_subset,Old_under+New_under,"0,3",0.1689
O2 + N14,2models,k_subset,Old_under+New_over,"0,4",0.1192
O2 + N14,2models,k_subset,Old_under+New_hybrid,"0,5",0.1451
O2 + N14,2models,k_subset,Old_over+New_under,"1,3",0.1366
O2 + N14,2models,k_subset,Old_over+New_over,"1,4",0.1018
O2 + N14,2models,k_subset,Old_over+New_hybrid,"1,5",0.1216
O2 + N14,2models,k_subset,Old_hybrid+New_under,"2,3",0.1209
O2 + N14,2models,k_subset,Old_hybrid+New_over,"2,4",0.0918
O2 + N14,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.1215
O2 + N14,2models,k_subsets_mean,,,0.1252
O2 + N14,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.1168
O2 + N14,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.0934
O2 + N14,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.1102
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.1074
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.0918
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.1054
O2 + N14,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.1589
O2 + N14,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.1829
O2 + N14,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.1475
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.0976
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.0846
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.0967
O2 + N14,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.1455
O2 + N14,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.1615
O2 + N14,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.1359
O2 + N14,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.1434
O2 + N14,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.1544
O2 + N14,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.1282
O2 + N14,3models,k_subsets_mean,,,0.1257
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.0903
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.0810
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.0933
O2 + N14,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.1322
O2 + N14,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.1469
O2 + N14,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.1229
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.1183
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.1415
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.1170
O2 + N14,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.1789
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.1127
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.1201
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.1093
