dataset,ensemble,type,subset,subset_indices,Recall
O2 + N14,2models,k_subset,Old_under+New_under,"0,3",0.4704
O2 + N14,2models,k_subset,Old_under+New_over,"0,4",0.4146
O2 + N14,2models,k_subset,Old_under+New_hybrid,"0,5",0.4321
O2 + N14,2models,k_subset,Old_over+New_under,"1,3",0.4913
O2 + N14,2models,k_subset,Old_over+New_over,"1,4",0.4599
O2 + N14,2models,k_subset,Old_over+New_hybrid,"1,5",0.4913
O2 + N14,2models,k_subset,Old_hybrid+New_under,"2,3",0.4007
O2 + N14,2models,k_subset,Old_hybrid+New_over,"2,4",0.5087
O2 + N14,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.4146
O2 + N14,2models,k_subsets_mean,,,0.4537
O2 + N14,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.5122
O2 + N14,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4878
O2 + N14,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.4983
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.4286
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.4599
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.4460
O2 + N14,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.5540
O2 + N14,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.4948
O2 + N14,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.4878
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.5052
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.4599
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.5436
O2 + N14,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.4286
O2 + N14,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.4599
O2 + N14,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.4739
O2 + N14,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.4251
O2 + N14,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.4530
O2 + N14,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.4808
O2 + N14,3models,k_subsets_mean,,,0.4777
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.5645
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.5296
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.5192
O2 + N14,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.4460
O2 + N14,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.4390
O2 + N14,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.3937
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.5087
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.4286
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.4774
O2 + N14,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.4808
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4321
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.4181
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.4251
O2 + N14,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.5052
O2 + N14,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.4878
O2 + N14,4models,k_subsets_mean,,,0.4704
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.4111
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.4599
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.4251
O2 + N14,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.4425
O2 + N14,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.4564
O2 + N14,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.4669
O2 + N14,5models,k_subsets_mean,,,0.4437
O2 + N14,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.4530
O2 + N14,6models,k_subsets_mean,,,0.4530
O2 + N14,New,under,,,0.4983
O2 + N14,New,over,,,0.5331
O2 + N14,New,hybrid,,,0.6063
O2 + N14,Old,under,,,0.2474
O2 + N14,Old,over,,,0.2962
O2 + N14,Old,hybrid,,,0.2927
O2 + N14,OldNew,under,,,0.4704
O2 + N14,OldNew,over,,,0.4599
O2 + N14,OldNew,hybrid,,,0.4146
O4 + N12,2models,k_subset,Old_under+New_under,"0,3",0.4983
O4 + N12,2models,k_subset,Old_under+New_over,"0,4",0.4355
O4 + N12,2models,k_subset,Old_under+New_hybrid,"0,5",0.4913
O4 + N12,2models,k_subset,Old_over+New_under,"1,3",0.4983
O4 + N12,2models,k_subset,Old_over+New_over,"1,4",0.5157
O4 + N12,2models,k_subset,Old_over+New_hybrid,"1,5",0.4739
O4 + N12,2models,k_subset,Old_hybrid+New_under,"2,3",0.4599
O4 + N12,2models,k_subset,Old_hybrid+New_over,"2,4",0.4390
O4 + N12,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.5401
O4 + N12,2models,k_subsets_mean,,,0.4835
O4 + N12,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.3868
O4 + N12,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.3310
O4 + N12,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.5296
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.4390
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.3902
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.4983
O4 + N12,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.4111
O4 + N12,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.5540
O4 + N12,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.4948
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.3415
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.4739
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.5331
O4 + N12,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.4564
O4 + N12,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.4774
O4 + N12,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.5505
O4 + N12,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.4495
O4 + N12,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.5401
O4 + N12,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.5714
O4 + N12,3models,k_subsets_mean,,,0.4683
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.2997
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.3415
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.3240
O4 + N12,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.4599
O4 + N12,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.5331
O4 + N12,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.4634
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4390
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.4948
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.5436
O4 + N12,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.5645
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4599
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.5331
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.4495
O4 + N12,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.5226
O4 + N12,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.5192
O4 + N12,4models,k_subsets_mean,,,0.4632
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.4216
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.5540
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.4355
O4 + N12,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.5296
O4 + N12,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.4634
O4 + N12,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.4530
O4 + N12,5models,k_subsets_mean,,,0.4762
O4 + N12,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.5401
O4 + N12,6models,k_subsets_mean,,,0.5401
O4 + N12,New,under,,,0.5261
O4 + N12,New,over,,,0.4669
O4 + N12,New,hybrid,,,0.5296
O4 + N12,Old,under,,,0.1324
O4 + N12,Old,over,,,0.2125
O4 + N12,Old,hybrid,,,0.2334
O4 + N12,OldNew,under,,,0.4983
O4 + N12,OldNew,over,,,0.5157
O4 + N12,OldNew,hybrid,,,0.5401
O6 + N10,2models,k_subset,Old_under+New_under,"0,3",0.4808
O6 + N10,2models,k_subset,Old_under+New_over,"0,4",0.4181
O6 + N10,2models,k_subset,Old_under+New_hybrid,"0,5",0.4634
O6 + N10,2models,k_subset,Old_over+New_under,"1,3",0.4007
O6 + N10,2models,k_subset,Old_over+New_over,"1,4",0.4948
O6 + N10,2models,k_subset,Old_over+New_hybrid,"1,5",0.5261
O6 + N10,2models,k_subset,Old_hybrid+New_under,"2,3",0.4843
O6 + N10,2models,k_subset,Old_hybrid+New_over,"2,4",0.4808
O6 + N10,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.5436
O6 + N10,2models,k_subsets_mean,,,0.4770
O6 + N10,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.4355
O6 + N10,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.4878
O6 + N10,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.4564
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.2857
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.2962
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.3240
O6 + N10,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.5714
O6 + N10,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.5505
O6 + N10,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.5017
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.3031
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.5087
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.4216
O6 + N10,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.4042
O6 + N10,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.5087
O6 + N10,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.5017
O6 + N10,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.4390
O6 + N10,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.5610
O6 + N10,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.5819
O6 + N10,3models,k_subsets_mean,,,0.4522
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.3868
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.3798
O6 + N10,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.2997
O6 + N10,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.4739
O6 + N10,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.5889
O6 + N10,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.5296
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.4739
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.4321
O6 + N10,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.5366
O6 + N10,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.4843
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.4913
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.5401
O6 + N10,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.5296
O6 + N10,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.4634
O6 + N10,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.4564
O6 + N10,4models,k_subsets_mean,,,0.4711
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.4355
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.5331
O6 + N10,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.5192
O6 + N10,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.5052
