dataset,ensemble,type,subset,subset_indices,F1
O1 + N7,Dynamic_KNORA_E,under,,,0.2285
O1 + N7,Dynamic_KNORA_E,over,,,0.2420
O1 + N7,Dynamic_KNORA_E,hybrid,,,0.2414
O1 + N7,Dynamic_KNORA_E,all6,,,0.2441
O1 + N7,Dynamic_KNORA_U,under,,,0.2261
O1 + N7,Dynamic_KNORA_U,over,,,0.2424
O1 + N7,Dynamic_KNORA_U,hybrid,,,0.2428
O1 + N7,Dynamic_KNORA_U,all6,,,0.2457
O1 + N7,Dynamic_DES_KNN,under,,,0.2228
O1 + N7,Dynamic_DES_KNN,over,,,0.2420
O1 + N7,Dynamic_DES_KNN,hybrid,,,0.2405
O1 + N7,Dynamic_DES_KNN,all6,,,0.2434
O2 + N6,Dynamic_KNORA_E,under,,,0.2261
O2 + N6,Dynamic_KNORA_E,over,,,0.2408
O2 + N6,Dynamic_KNORA_E,hybrid,,,0.2445
O2 + N6,Dynamic_KNORA_E,all6,,,0.2420
O2 + N6,Dynamic_KNORA_U,under,,,0.2211
O2 + N6,Dynamic_KNORA_U,over,,,0.2420
O2 + N6,Dynamic_KNORA_U,hybrid,,,0.2484
O2 + N6,Dynamic_KNORA_U,all6,,,0.2477
O2 + N6,Dynamic_DES_KNN,under,,,0.2240
O2 + N6,Dynamic_DES_KNN,over,,,0.2421
O2 + N6,Dynamic_DES_KNN,hybrid,,,0.2439
O2 + N6,Dynamic_DES_KNN,all6,,,0.2482
O3 + N5,Dynamic_KNORA_E,under,,,0.2303
O3 + N5,Dynamic_KNORA_E,over,,,0.2476
O3 + N5,Dynamic_KNORA_E,hybrid,,,0.2488
O3 + N5,Dynamic_KNORA_E,all6,,,0.2427
O3 + N5,Dynamic_KNORA_U,under,,,0.2333
O3 + N5,Dynamic_KNORA_U,over,,,0.2484
O3 + N5,Dynamic_KNORA_U,hybrid,,,0.2468
O3 + N5,Dynamic_KNORA_U,all6,,,0.2473
O3 + N5,Dynamic_DES_KNN,under,,,0.2336
O3 + N5,Dynamic_DES_KNN,over,,,0.2478
O3 + N5,Dynamic_DES_KNN,hybrid,,,0.2479
O3 + N5,Dynamic_DES_KNN,all6,,,0.2495
O4 + N4,Dynamic_KNORA_E,under,,,0.2368
O4 + N4,Dynamic_KNORA_E,over,,,0.2474
O4 + N4,Dynamic_KNORA_E,hybrid,,,0.2492
O4 + N4,Dynamic_KNORA_E,all6,,,0.2425
O4 + N4,Dynamic_KNORA_U,under,,,0.2368
O4 + N4,Dynamic_KNORA_U,over,,,0.2492
O4 + N4,Dynamic_KNORA_U,hybrid,,,0.2495
O4 + N4,Dynamic_KNORA_U,all6,,,0.2542
O4 + N4,Dynamic_DES_KNN,under,,,0.2347
O4 + N4,Dynamic_DES_KNN,over,,,0.2493
O4 + N4,Dynamic_DES_KNN,hybrid,,,0.2503
O4 + N4,Dynamic_DES_KNN,all6,,,0.2489
O5 + N3,Dynamic_KNORA_E,under,,,0.2366
O5 + N3,Dynamic_KNORA_E,over,,,0.2521
O5 + N3,Dynamic_KNORA_E,hybrid,,,0.2564
O5 + N3,Dynamic_KNORA_E,all6,,,0.2492
O5 + N3,Dynamic_KNORA_U,under,,,0.2352
O5 + N3,Dynamic_KNORA_U,over,,,0.2531
O5 + N3,Dynamic_KNORA_U,hybrid,,,0.2575
O5 + N3,Dynamic_KNORA_U,all6,,,0.2577
O5 + N3,Dynamic_DES_KNN,under,,,0.2334
O5 + N3,Dynamic_DES_KNN,over,,,0.2524
