dataset,split,ensemble,type,subset,subset_indices,AUC,F1,Recall
O2 + N14,split_2+14,Dynamic_KNORA_E,under,,,0.7611,0.1758,0.4355
O2 + N14,split_2+14,Dynamic_KNORA_U,under,,,0.8018,0.1691,0.4704
O2 + N14,split_2+14,Dynamic_DES_KNN,under,,,0.7940,0.1670,0.4146
O2 + N14,split_2+14,Dynamic_KNORA_E,over,,,0.6976,0.1011,0.4321
O2 + N14,split_2+14,Dynamic_KNORA_U,over,,,0.7316,0.1019,0.4599
O2 + N14,split_2+14,Dynamic_DES_KNN,over,,,0.7320,0.1061,0.4634
O2 + N14,split_2+14,Dynamic_KNORA_E,hybrid,,,0.7279,0.1103,0.4913
O2 + N14,split_2+14,Dynamic_KNORA_U,hybrid,,,0.7601,0.1221,0.4146
O2 + N14,split_2+14,Dynamic_DES_KNN,hybrid,,,0.7549,0.1149,0.4390
O2 + N14,split_2+14,Dynamic_KNORA_E,all6,,,0.7457,0.1254,0.3937
O2 + N14,split_2+14,Dynamic_KNORA_U,all6,,,0.7839,0.1268,0.4530
O2 + N14,split_2+14,Dynamic_DES_KNN,all6,,,0.7812,0.1251,0.4321
O4 + N12,split_4+12,Dynamic_KNORA_E,under,,,0.7721,0.1486,0.3449
O4 + N12,split_4+12,Dynamic_KNORA_U,under,,,0.8001,0.1630,0.4983
O4 + N12,split_4+12,Dynamic_DES_KNN,under,,,0.7969,0.1503,0.4878
O4 + N12,split_4+12,Dynamic_KNORA_E,over,,,0.7352,0.1063,0.5052
O4 + N12,split_4+12,Dynamic_KNORA_U,over,,,0.7409,0.1090,0.5157
O4 + N12,split_4+12,Dynamic_DES_KNN,over,,,0.7432,0.1184,0.4739
O4 + N12,split_4+12,Dynamic_KNORA_E,hybrid,,,0.7801,0.1446,0.5087
O4 + N12,split_4+12,Dynamic_KNORA_U,hybrid,,,0.7948,0.1454,0.5401
O4 + N12,split_4+12,Dynamic_DES_KNN,hybrid,,,0.7946,0.1451,0.5226
O4 + N12,split_4+12,Dynamic_KNORA_E,all6,,,0.7712,0.1564,0.4669
O4 + N12,split_4+12,Dynamic_KNORA_U,all6,,,0.8048,0.1402,0.5401
O4 + N12,split_4+12,Dynamic_DES_KNN,all6,,,0.8049,0.1538,0.4774
O6 + N10,split_6+10,Dynamic_KNORA_E,under,,,0.7850,0.1790,0.4425
O6 + N10,split_6+10,Dynamic_KNORA_U,under,,,0.8006,0.1830,0.4808
O6 + N10,split_6+10,Dynamic_DES_KNN,under,,,0.7982,0.1580,0.5575
O6 + N10,split_6+10,Dynamic_KNORA_E,over,,,0.7507,0.1326,0.4808
O6 + N10,split_6+10,Dynamic_KNORA_U,over,,,0.7563,0.1337,0.4948
O6 + N10,split_6+10,Dynamic_DES_KNN,over,,,0.7578,0.1353,0.4530
O6 + N10,split_6+10,Dynamic_KNORA_E,hybrid,,,0.7967,0.1605,0.5017
O6 + N10,split_6+10,Dynamic_KNORA_U,hybrid,,,0.7988,0.1576,0.5436
O6 + N10,split_6+10,Dynamic_DES_KNN,hybrid,,,0.7979,0.1628,0.4634
O6 + N10,split_6+10,Dynamic_KNORA_E,all6,,,0.8056,0.1768,0.3763
O6 + N10,split_6+10,Dynamic_KNORA_U,all6,,,0.8117,0.1597,0.4948
O6 + N10,split_6+10,Dynamic_DES_KNN,all6,,,0.8131,0.1593,0.5331
