dataset,split,ensemble,type,subset,subset_indices,AUC,F1,Recall
O1 + N7,split_1+7,Dynamic_KNORA_E,under,,,0.6082,0.2285,0.4333
O1 + N7,split_1+7,Dynamic_KNORA_U,under,,,0.6115,0.2261,0.5953
O1 + N7,split_1+7,Dynamic_DES_KNN,under,,,0.6001,0.2228,0.3992
O1 + N7,split_1+7,Dynamic_KNORA_E,over,,,0.6319,0.2420,0.4892
O1 + N7,split_1+7,Dynamic_KNORA_U,over,,,0.6328,0.2424,0.4938
O1 + N7,split_1+7,Dynamic_DES_KNN,over,,,0.6329,0.2420,0.4928
O1 + N7,split_1+7,Dynamic_KNORA_E,hybrid,,,0.6403,0.2414,0.4029
O1 + N7,split_1+7,Dynamic_KNORA_U,hybrid,,,0.6395,0.2428,0.4361
O1 + N7,split_1+7,Dynamic_DES_KNN,hybrid,,,0.6403,0.2405,0.4236
O1 + N7,split_1+7,Dynamic_KNORA_E,all6,,,0.6321,0.2441,0.4453
O1 + N7,split_1+7,Dynamic_KNORA_U,all6,,,0.6395,0.2457,0.5085
O1 + N7,split_1+7,Dynamic_DES_KNN,all6,,,0.6361,0.2434,0.5390
O2 + N6,split_2+6,Dynamic_KNORA_E,under,,,0.6096,0.2261,0.4827
O2 + N6,split_2+6,Dynamic_KNORA_U,under,,,0.6116,0.2211,0.4278
O2 + N6,split_2+6,Dynamic_DES_KNN,under,,,0.6061,0.2240,0.4808
O2 + N6,split_2+6,Dynamic_KNORA_E,over,,,0.6355,0.2408,0.4629
O2 + N6,split_2+6,Dynamic_KNORA_U,over,,,0.6381,0.2420,0.4716
O2 + N6,split_2+6,Dynamic_DES_KNN,over,,,0.6378,0.2421,0.4707
O2 + N6,split_2+6,Dynamic_KNORA_E,hybrid,,,0.6413,0.2445,0.4781
O2 + N6,split_2+6,Dynamic_KNORA_U,hybrid,,,0.6453,0.2484,0.4832
O2 + N6,split_2+6,Dynamic_DES_KNN,hybrid,,,0.6444,0.2439,0.4915
O2 + N6,split_2+6,Dynamic_KNORA_E,all6,,,0.6293,0.2420,0.3844
O2 + N6,split_2+6,Dynamic_KNORA_U,all6,,,0.6455,0.2477,0.4707
O2 + N6,split_2+6,Dynamic_DES_KNN,all6,,,0.6422,0.2482,0.5205
O3 + N5,split_3+5,Dynamic_KNORA_E,under,,,0.6220,0.2303,0.4301
O3 + N5,split_3+5,Dynamic_KNORA_U,under,,,0.6217,0.2333,0.4536
O3 + N5,split_3+5,Dynamic_DES_KNN,under,,,0.6210,0.2336,0.4605
O3 + N5,split_3+5,Dynamic_KNORA_E,over,,,0.6390,0.2476,0.4333
O3 + N5,split_3+5,Dynamic_KNORA_U,over,,,0.6395,0.2484,0.4375
O3 + N5,split_3+5,Dynamic_DES_KNN,over,,,0.6397,0.2478,0.4361
O3 + N5,split_3+5,Dynamic_KNORA_E,hybrid,,,0.6477,0.2488,0.4319
O3 + N5,split_3+5,Dynamic_KNORA_U,hybrid,,,0.6493,0.2468,0.4222
O3 + N5,split_3+5,Dynamic_DES_KNN,hybrid,,,0.6489,0.2479,0.4393
O3 + N5,split_3+5,Dynamic_KNORA_E,all6,,,0.6307,0.2427,0.4818
O3 + N5,split_3+5,Dynamic_KNORA_U,all6,,,0.6477,0.2473,0.4495
O3 + N5,split_3+5,Dynamic_DES_KNN,all6,,,0.6439,0.2495,0.4273
O4 + N4,split_4+4,Dynamic_KNORA_E,under,,,0.6293,0.2368,0.3572
O4 + N4,split_4+4,Dynamic_KNORA_U,under,,,0.6275,0.2368,0.3941
O4 + N4,split_4+4,Dynamic_DES_KNN,under,,,0.6259,0.2347,0.3816
O4 + N4,split_4+4,Dynamic_KNORA_E,over,,,0.6424,0.2474,0.4476
O4 + N4,split_4+4,Dynamic_KNORA_U,over,,,0.6454,0.2492,0.4536
O4 + N4,split_4+4,Dynamic_DES_KNN,over,,,0.6452,0.2493,0.4536
O4 + N4,split_4+4,Dynamic_KNORA_E,hybrid,,,0.6501,0.2492,0.4928
O4 + N4,split_4+4,Dynamic_KNORA_U,hybrid,,,0.6524,0.2495,0.5021
O4 + N4,split_4+4,Dynamic_DES_KNN,hybrid,,,0.6519,0.2503,0.5016
O4 + N4,split_4+4,Dynamic_KNORA_E,all6,,,0.6348,0.2425,0.4412
O4 + N4,split_4+4,Dynamic_KNORA_U,all6,,,0.6511,0.2542,0.4624
O4 + N4,split_4+4,Dynamic_DES_KNN,all6,,,0.6479,0.2489,0.4287
O5 + N3,split_5+3,Dynamic_KNORA_E,under,,,0.6239,0.2366,0.4712
O5 + N3,split_5+3,Dynamic_KNORA_U,under,,,0.6234,0.2352,0.4246
O5 + N3,split_5+3,Dynamic_DES_KNN,under,,,0.6210,0.2334,0.4084
O5 + N3,split_5+3,Dynamic_KNORA_E,over,,,0.6460,0.2521,0.4610
O5 + N3,split_5+3,Dynamic_KNORA_U,over,,,0.6476,0.2531,0.4629
O5 + N3,split_5+3,Dynamic_DES_KNN,over,,,0.6474,0.2524,0.4619
O5 + N3,split_5+3,Dynamic_KNORA_E,hybrid,,,0.6544,0.2564,0.4112
O5 + N3,split_5+3,Dynamic_KNORA_U,hybrid,,,0.6540,0.2575,0.3839
O5 + N3,split_5+3,Dynamic_DES_KNN,hybrid,,,0.6542,0.2564,0.3973
O5 + N3,split_5+3,Dynamic_KNORA_E,all6,,,0.6372,0.2492,0.4296
O5 + N3,split_5+3,Dynamic_KNORA_U,all6,,,0.6533,0.2577,0.4384
O5 + N3,split_5+3,Dynamic_DES_KNN,all6,,,0.6484,0.2486,0.3683
O6 + N2,split_6+2,Dynamic_KNORA_E,under,,,0.6271,0.2382,0.4596
O6 + N2,split_6+2,Dynamic_KNORA_U,under,,,0.6267,0.2363,0.4513
O6 + N2,split_6+2,Dynamic_DES_KNN,under,,,0.6252,0.2371,0.4379
O6 + N2,split_6+2,Dynamic_KNORA_E,over,,,0.6442,0.2470,0.4744
O6 + N2,split_6+2,Dynamic_KNORA_U,over,,,0.6445,0.2472,0.4758
O6 + N2,split_6+2,Dynamic_DES_KNN,over,,,0.6445,0.2467,0.4744
O6 + N2,split_6+2,Dynamic_KNORA_E,hybrid,,,0.6539,0.2578,0.4855
O6 + N2,split_6+2,Dynamic_KNORA_U,hybrid,,,0.6559,0.2593,0.4928
O6 + N2,split_6+2,Dynamic_DES_KNN,hybrid,,,0.6556,0.2590,0.4915
O6 + N2,split_6+2,Dynamic_KNORA_E,all6,,,0.6418,0.2456,0.5035
O6 + N2,split_6+2,Dynamic_KNORA_U,all6,,,0.6546,0.2541,0.4352
O6 + N2,split_6+2,Dynamic_DES_KNN,all6,,,0.6515,0.2522,0.5491
O7 + N1,split_7+1,Dynamic_KNORA_E,under,,,0.6222,0.2326,0.5588
O7 + N1,split_7+1,Dynamic_KNORA_U,under,,,0.6244,0.2332,0.5228
O7 + N1,split_7+1,Dynamic_DES_KNN,under,,,0.6179,0.2313,0.4975
O7 + N1,split_7+1,Dynamic_KNORA_E,over,,,0.6405,0.2496,0.4495
O7 + N1,split_7+1,Dynamic_KNORA_U,over,,,0.6429,0.2514,0.4536
O7 + N1,split_7+1,Dynamic_DES_KNN,over,,,0.6428,0.2519,0.4550
O7 + N1,split_7+1,Dynamic_KNORA_E,hybrid,,,0.6510,0.2521,0.5828
O7 + N1,split_7+1,Dynamic_KNORA_U,hybrid,,,0.6510,0.2603,0.4070
O7 + N1,split_7+1,Dynamic_DES_KNN,hybrid,,,0.6515,0.2608,0.4066
O7 + N1,split_7+1,Dynamic_KNORA_E,all6,,,0.6416,0.2457,0.5528
O7 + N1,split_7+1,Dynamic_KNORA_U,all6,,,0.6514,0.2540,0.5593
O7 + N1,split_7+1,Dynamic_DES_KNN,all6,,,0.6489,0.2441,0.6248
