dataset,Old_under,Old_over,Old_hybrid,New_under,New_over,New_hybrid,OldNew_under,OldNew_over,OldNew_hybrid,2models_subsets_mean,3models_subsets_mean,4models_subsets_mean,5models_subsets_mean,6models_subsets_mean
O1 + N15,0.5208,0.5755,0.5799,0.8578,0.8213,0.8448,0.7836,0.7593,0.7627,0.7675,0.7709,0.7762,0.7823,0.7864
O2 + N14,0.5720,0.5937,0.6287,0.8508,0.8199,0.8397,0.7860,0.7779,0.7901,0.7873,0.7900,0.7949,0.8005,0.8042
O3 + N13,0.6313,0.6260,0.6444,0.8512,0.8268,0.8450,0.8238,0.7853,0.8040,0.8038,0.8052,0.8091,0.8139,0.8172
O4 + N12,0.6550,0.6279,0.6429,0.8724,0.8321,0.8554,0.8436,0.7903,0.8134,0.8160,0.8190,0.8235,0.8284,0.8318
O5 + N11,0.6655,0.6299,0.6590,0.8807,0.8248,0.8576,0.8544,0.7813,0.8197,0.8187,0.8219,0.8264,0.8312,0.8344
O6 + N10,0.6582,0.6272,0.6610,0.8835,0.8364,0.8639,0.8444,0.7920,0.8203,0.8206,0.8222,0.8260,0.8303,0.8332
O7 + N9,0.6832,0.6527,0.6851,0.8700,0.8379,0.8584,0.8462,0.7970,0.8228,0.8230,0.8248,0.8284,0.8325,0.8355
O8 + N8,0.6903,0.6579,0.7144,0.8657,0.8440,0.8593,0.8357,0.8100,0.8267,0.8258,0.8285,0.8320,0.8358,0.8386
O9 + N7,0.7267,0.7068,0.7396,0.8769,0.8376,0.8687,0.8497,0.8137,0.8371,0.8358,0.8387,0.8422,0.8457,0.8482
O10 + N6,0.7685,0.7384,0.7689,0.8713,0.8427,0.8615,0.8583,0.8139,0.8359,0.8388,0.8422,0.8452,0.8478,0.8496
O11 + N5,0.7727,0.7315,0.7778,0.8617,0.8275,0.8567,0.8494,0.8134,0.8402,0.8373,0.8425,0.8463,0.8496,0.8517
O12 + N4,0.7828,0.7479,0.7961,0.8581,0.8376,0.8592,0.8486,0.8132,0.8484,0.8400,0.8442,0.8473,0.8499,0.8516
O13 + N3,0.7984,0.7612,0.7821,0.8681,0.8403,0.8578,0.8610,0.8261,0.8379,0.8429,0.8474,0.8506,0.8531,0.8548
O14 + N2,0.8050,0.7710,0.8146,0.8555,0.8310,0.8423,0.8663,0.8297,0.8484,0.8495,0.8548,0.8586,0.8617,0.8639
O15 + N1,0.8321,0.7885,0.8187,0.8471,0.8115,0.8061,0.8690,0.8322,0.8333,0.8467,0.8528,0.8575,0.8613,0.8639
avg,0.7042,0.6824,0.7142,0.8647,0.8314,0.8518,0.8413,0.8024,0.8227,0.8236,0.8270,0.8309,0.8349,0.8377
