dataset,ensemble,type,subset,subset_indices,AUC
O2 + N14,2models,k_subset,Old_under+New_under,"0,3",0.8018
O2 + N14,2models,k_subset,Old_under+New_over,"0,4",0.7546
O2 + N14,2models,k_subset,Old_under+New_hybrid,"0,5",0.7899
O2 + N14,2models,k_subset,Old_over+New_under,"1,3",0.7790
O2 + N14,2models,k_subset,Old_over+New_over,"1,4",0.7315
O2 + N14,2models,k_subset,Old_over+New_hybrid,"1,5",0.7680
O2 + N14,2models,k_subset,Old_hybrid+New_under,"2,3",0.7690
O2 + N14,2models,k_subset,Old_hybrid+New_over,"2,4",0.7267
O2 + N14,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.7594
O2 + N14,2models,k_subsets_mean,,,0.7644
O2 + N14,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.7565
O2 + N14,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.7148
O2 + N14,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.7504
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.7481
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.7101
O2 + N14,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.7425
O2 + N14,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8157
O2 + N14,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8310
O2 + N14,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.7997
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.7349
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.6993
O2 + N14,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.7305
O2 + N14,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.7979
O2 + N14,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8150
O2 + N14,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.7833
O2 + N14,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.7922
O2 + N14,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8082
O2 + N14,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.7793
O2 + N14,3models,k_subsets_mean,,,0.7672
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.7200
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.6879
O2 + N14,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.7184
O2 + N14,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.7847
O2 + N14,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8022
O2 + N14,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.7730
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.7787
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.7952
O2 + N14,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.7681
O2 + N14,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8278
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.7659
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.7824
O2 + N14,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.7567
O2 + N14,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8149
O2 + N14,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8111
O2 + N14,4models,k_subsets_mean,,,0.7725
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.7552
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.7719
O2 + N14,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.7480
O2 + N14,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8064
O2 + N14,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8021
O2 + N14,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.7915
O2 + N14,5models,k_subsets_mean,,,0.7792
O2 + N14,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.7835
O2 + N14,6models,k_subsets_mean,,,0.7835
O2 + N14,New,under,,,0.8320
O2 + N14,New,over,,,0.7816
O2 + N14,New,hybrid,,,0.8161
O2 + N14,Old,under,,,0.5271
O2 + N14,Old,over,,,0.5408
O2 + N14,Old,hybrid,,,0.5562
O2 + N14,OldNew,under,,,0.8018
O2 + N14,OldNew,over,,,0.7315
O2 + N14,OldNew,hybrid,,,0.7594
O4 + N12,2models,k_subset,Old_under+New_under,"0,3",0.8028
O4 + N12,2models,k_subset,Old_under+New_over,"0,4",0.7548
O4 + N12,2models,k_subset,Old_under+New_hybrid,"0,5",0.8097
O4 + N12,2models,k_subset,Old_over+New_under,"1,3",0.7935
O4 + N12,2models,k_subset,Old_over+New_over,"1,4",0.7398
O4 + N12,2models,k_subset,Old_over+New_hybrid,"1,5",0.7918
O4 + N12,2models,k_subset,Old_hybrid+New_under,"2,3",0.7960
O4 + N12,2models,k_subset,Old_hybrid+New_over,"2,4",0.7453
O4 + N12,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.7945
O4 + N12,2models,k_subsets_mean,,,0.7809
O4 + N12,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.7643
O4 + N12,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.7182
O4 + N12,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.7696
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.7668
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.7229
O4 + N12,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.7709
O4 + N12,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8259
O4 + N12,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8465
O4 + N12,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.8172
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.7595
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.7166
O4 + N12,3models,k_subset,Old_over+Old_hybrid+New_hybrid,"1,2,5",0.7616
O4 + N12,3models,k_subset,Old_over+New_under+New_over,"1,3,4",0.8136
O4 + N12,3models,k_subset,Old_over+New_under+New_hybrid,"1,3,5",0.8357
O4 + N12,3models,k_subset,Old_over+New_over+New_hybrid,"1,4,5",0.8022
O4 + N12,3models,k_subset,Old_hybrid+New_under+New_over,"2,3,4",0.8160
O4 + N12,3models,k_subset,Old_hybrid+New_under+New_hybrid,"2,3,5",0.8371
O4 + N12,3models,k_subset,Old_hybrid+New_over+New_hybrid,"2,4,5",0.8056
O4 + N12,3models,k_subsets_mean,,,0.7861
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_under,"0,1,2,3",0.7392
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_over,"0,1,2,4",0.7010
O4 + N12,4models,k_subset,Old_under+Old_over+Old_hybrid+New_hybrid,"0,1,2,5",0.7445
O4 + N12,4models,k_subset,Old_under+Old_over+New_under+New_over,"0,1,3,4",0.7953
O4 + N12,4models,k_subset,Old_under+Old_over+New_under+New_hybrid,"0,1,3,5",0.8186
O4 + N12,4models,k_subset,Old_under+Old_over+New_over+New_hybrid,"0,1,4,5",0.7893
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_under+New_over,"0,2,3,4",0.7965
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_under+New_hybrid,"0,2,3,5",0.8190
O4 + N12,4models,k_subset,Old_under+Old_hybrid+New_over+New_hybrid,"0,2,4,5",0.7912
O4 + N12,4models,k_subset,Old_under+New_under+New_over+New_hybrid,"0,3,4,5",0.8450
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_under+New_over,"1,2,3,4",0.7878
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_under+New_hybrid,"1,2,3,5",0.8097
O4 + N12,4models,k_subset,Old_over+Old_hybrid+New_over+New_hybrid,"1,2,4,5",0.7811
O4 + N12,4models,k_subset,Old_over+New_under+New_over+New_hybrid,"1,3,4,5",0.8349
O4 + N12,4models,k_subset,Old_hybrid+New_under+New_over+New_hybrid,"2,3,4,5",0.8367
O4 + N12,4models,k_subsets_mean,,,0.7926
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over,"0,1,2,3,4",0.7723
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_hybrid,"0,1,2,3,5",0.7947
O4 + N12,5models,k_subset,Old_under+Old_over+Old_hybrid+New_over+New_hybrid,"0,1,2,4,5",0.7694
O4 + N12,5models,k_subset,Old_under+Old_over+New_under+New_over+New_hybrid,"0,1,3,4,5",0.8231
O4 + N12,5models,k_subset,Old_under+Old_hybrid+New_under+New_over+New_hybrid,"0,2,3,4,5",0.8242
O4 + N12,5models,k_subset,Old_over+Old_hybrid+New_under+New_over+New_hybrid,"1,2,3,4,5",0.8159
O4 + N12,5models,k_subsets_mean,,,0.7999
O4 + N12,6models,k_subset,Old_under+Old_over+Old_hybrid+New_under+New_over+New_hybrid,"0,1,2,3,4,5",0.8049
O4 + N12,6models,k_subsets_mean,,,0.8049
O4 + N12,New,under,,,0.8416
O4 + N12,New,over,,,0.7922
O4 + N12,New,hybrid,,,0.8440
O4 + N12,Old,under,,,0.5456
O4 + N12,Old,over,,,0.5773
O4 + N12,Old,hybrid,,,0.5903
O4 + N12,OldNew,under,,,0.8028
O4 + N12,OldNew,over,,,0.7398
O4 + N12,OldNew,hybrid,,,0.7945
O6 + N10,2models,k_subset,Old_under+New_under,"0,3",0.8005
O6 + N10,2models,k_subset,Old_under+New_over,"0,4",0.7693
O6 + N10,2models,k_subset,Old_under+New_hybrid,"0,5",0.8126
O6 + N10,2models,k_subset,Old_over+New_under,"1,3",0.8018
O6 + N10,2models,k_subset,Old_over+New_over,"1,4",0.7562
O6 + N10,2models,k_subset,Old_over+New_hybrid,"1,5",0.7984
O6 + N10,2models,k_subset,Old_hybrid+New_under,"2,3",0.8033
O6 + N10,2models,k_subset,Old_hybrid+New_over,"2,4",0.7588
O6 + N10,2models,k_subset,Old_hybrid+New_hybrid,"2,5",0.7987
O6 + N10,2models,k_subsets_mean,,,0.7888
O6 + N10,3models,k_subset,Old_under+Old_over+New_under,"0,1,3",0.7740
O6 + N10,3models,k_subset,Old_under+Old_over+New_over,"0,1,4",0.7433
O6 + N10,3models,k_subset,Old_under+Old_over+New_hybrid,"0,1,5",0.7836
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_under,"0,2,3",0.7767
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_over,"0,2,4",0.7466
O6 + N10,3models,k_subset,Old_under+Old_hybrid+New_hybrid,"0,2,5",0.7835
O6 + N10,3models,k_subset,Old_under+New_under+New_over,"0,3,4",0.8200
O6 + N10,3models,k_subset,Old_under+New_under+New_hybrid,"0,3,5",0.8423
O6 + N10,3models,k_subset,Old_under+New_over+New_hybrid,"0,4,5",0.8192
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_under,"1,2,3",0.7710
O6 + N10,3models,k_subset,Old_over+Old_hybrid+New_over,"1,2,4",0.7352
